,PAGE_URL_COMPLETE,name,color,imageUrl,Trending,Site,Category
0,www.koovs.com/koovs-high-neck-frill-sleeve-dress-132554-148698.html,High Neck Frill Shift Dress,Black,https://product.koovs.com/148698_4dbb66814c754c23becf0518c8cd6a2f_image1_super_zoom.jpg,False,KOOVS,popular
1,www.koovs.com/koovs-asymmetric-cut-out-dress-125197-140211.html,Asymmetric Cut-Out Skater Dress,Black,https://product.koovs.com/125197_b97c7d229ced80bab1ce1dc7d7a0c713.jpg,False,KOOVS,popular
2,www.koovs.com/k-denim-neon-zip-detail-denim-dress-132200-148271.html,KOOVS Zip Detail Denim Dress,Blue,https://product.koovs.com/132200_8694dcbd7a1593368b8d6e7edfbe3cf1.jpg,False,KOOVS,popular
3,www.koovs.com/koovs-damsel-dress-108922-121654.html,Floral Asymmetric Maxi Dress,Multi,https://product.koovs.com/108922_3677f5525a80aebc8dfa8f7cc537af88.jpg,False,KOOVS,popular
4,www.koovs.com/koovs-pleat-detail-v-back-maxi-dress-60416-66436.html,Pleated Side-Slit Maxi Dress,Orange,https://product.koovs.com/60416_cdbb1159eb422219d6723c196f84e325.jpg,False,KOOVS,popular
5,www.koovs.com/koovs-one-shoulder-sequin-dress-133094-149367.html,One Shoulder Sequin Bodycon Dress,Multi,https://product.koovs.com/149367_f20277f4aa9546d9aa696f3217367ef9_image1_super_zoom.jpg,False,KOOVS,popular
6,www.koovs.com/koovs-tie-dye-ring-dress-126943-142182.html,Tie & Dye O-Ring Bodycon Dress,Green,https://product.koovs.com/126943_30e1405501e49ae241dddd1878f369c8.jpg,False,KOOVS,popular
7,www.koovs.com/koovs-denim-dress-338-123067-137849.html,KOOVS Sleeveless Skater Denim Dress,Green,https://product.koovs.com/123067_e58467ad56c684d07d07a57ca4f72ab7.jpg,False,KOOVS,popular
8,www.koovs.com/koovs-sless-lurex-dress-125024-140027.html,Halter Neck Shimmer Bodycon Dress,Brown,https://product.koovs.com/140027_f2f12e5fd9894ca39299ac24222cdc6c_image1_super_zoom.jpg,False,KOOVS,popular
9,www.koovs.com/koovs-one-shoulder-frill-dress-25-123642-138465.html,One Shoulder Frill Dress,Pink,https://product.koovs.com/123642_d003087cb015c033efaa43b286e96ed4.jpg,False,KOOVS,popular
10,www.koovs.com/ruffle-trim-midi-dress-150-111437-124668.html,Ruffle Back Cutout Shift Dress,Red,https://product.koovs.com/111437_96285d9e3080ed66a0616143535bf9a6.jpg,False,KOOVS,popular
11,www.koovs.com/koovs-one-shoulder-wide-leg-sequin-jumpsuit-133103-149377.html,Sequinned Cami Midi Dress,Pink,https://product.koovs.com/149377_19df5eb27ae94aa2834ca00a378cd04c_image1_super_zoom.jpg,False,KOOVS,popular
12,www.koovs.com/koovs-cut-out-one-shoulder-dress-126250-141433.html,One Shoulder Bodycon Dress,Pink,https://product.koovs.com/141433_24b49ce6b03a498f98d39aa67b825f56_image1_super_zoom.jpg,False,KOOVS,popular
13,www.koovs.com/cold-shoulder-shirt-dress-272-116235-130112.html,Cold Shoulder Shirt Dress,Red,https://product.koovs.com/116235_af46fbcabf1803ff81fa651c1102ac27.jpg,False,KOOVS,popular
14,www.koovs.com/evah-london-sweat-dress-with-front-tie-up-85654-95224.html,Sweat Dress With Front Tie Up,Grey,https://product.koovs.com/85654_f31c58642430485ad01bc7bf5241e1e8.jpg,False,KOOVS,popular
15,www.koovs.com/koovs-shivan-and-narresh-x-koovs-pink-panther-midi-dress-131109-146944.html,Magnolia Flower Print Skater Dress,Pink,https://product.koovs.com/131109_3b1a90cdc67d2c75920aad3b3cdb9044.jpg,False,KOOVS,popular
16,www.koovs.com/koovs-one-shoulder-ruched-dress-126768-141980.html,One Shoulder Cut-Out Bodycon Dress,Yellow,https://product.koovs.com/126768_488ea06c8ffccc09756e836965a02672.jpg,False,KOOVS,popular
17,www.koovs.com/koovs-off-shoulder-a-line-linen-midi-dress-117659-131754.html,Cold Shoulder Shift Dress,Blue,https://product.koovs.com/117659_ce80469b3bcf1315bdcead3d2437d1c9.jpg,False,KOOVS,popular
18,www.koovs.com/rini-bardot-dress-427-117347-131392.html,Basic Skater Off-Shoulder Dress,Black,https://product.koovs.com/117347_9f485bb12a6fdcb70d8d492f95e26b23.jpg,False,KOOVS,popular
19,www.koovs.com/printed-off-shoulder-dress-132660-148833.html,Floral Leaf Print Off-Shoulder Skater Dress,Red,https://product.koovs.com/148833_7ef39a1d0fb6484ebd5991ece9d5d855_image1_super_zoom.jpg,False,KOOVS,popular
20,www.koovs.com/koovs-shivan-and-narresh-x-koovs-glitter-bodycon-131110-146945.html,Cut-Out One Shoulder Bodycon Dress,Multi,https://product.koovs.com/131110_0a9128c27b025e2f2b4d64123fa7983b.jpg,False,KOOVS,popular
21,www.koovs.com/scuba-asymetric-one-shoulder-midi-dress-127413-142766.html,Floral Print Asymmetric Neck Bodycon Dress,Pink,https://product.koovs.com/127413_a525f91acda05446eba628489240a550.jpg,False,KOOVS,popular
22,www.koovs.com/floral-shift-dress-403-125177-140187.html,Floral Print Shift Dress,Multi,https://product.koovs.com/125177_b906455f940a8f35137f3a4d81f2126d.jpg,False,KOOVS,popular
23,www.koovs.com/cold-shoulder-shirt-dress-116234-130111.html,Cold Shoulder Shirt Dress,Blue,https://product.koovs.com/116234_e63a65651f1a922b0f0d9de3e67d5555.jpg,False,KOOVS,popular
24,www.koovs.com/mia-evening-dress-115778-129547.html,Sequin Back Tie-Up Maxi Dress,Red,https://product.koovs.com/129547_91f58ea978f945d1a542e2cfbab7b80a_image1_super_zoom.jpg,False,KOOVS,popular
25,www.koovs.com/koovs-zebra-print-midi-dress-132734-148925.html,Zebra Stripe Print Midi Dress,Multi,https://product.koovs.com/132734_9e3c7f4eb0675849c6955be8e215a9e8.jpg,False,KOOVS,popular
26,www.koovs.com/asymmteric-printed-dress-128399-143845.html,Paisley Print Asymmetric Dress,Multi,https://product.koovs.com/128399_8d1b2744adb1be15b60b0188ec008a28.jpg,False,KOOVS,popular
