,PAGE_URL_COMPLETE,name,color,imageUrl,Trending,Site,Category
0,www.ajio.com/tommy-hilfiger-polo-t-shirt-with-vented-hem/p/460664423_pink,Polo T-shirt with Vented Hem,pink,https://assets.ajio.com/medias/sys_master/root/20200806/zMfg/5f2b07c8f997dd2277944d07/tommy_hilfiger_blue_polo_polo_t-shirt_with_vented_hem.jpg,True,AJIO,new
1,www.ajio.com/tommy-hilfiger-crew-neck-t-shirt-with-curved-hemline/p/460664374_red,Crew-Neck T-shirt with Curved Hemline,red,https://assets.ajio.com/medias/sys_master/root/20200806/g9A8/5f2b0dd87cdb8ca2cf8f3e7c/tommy_hilfiger_red_crew_crew-neck_t-shirt_with_curved_hemline.jpg,True,AJIO,new
2,www.ajio.com/tommy-hilfiger-slim-fit-crew-neck-t-shirt/p/460664583_navyblue,Slim Fit Crew-Neck T-shirt,navyblue,https://assets.ajio.com/medias/sys_master/root/20200806/rWeo/5f2b0482f997dd2277943944/tommy_hilfiger_navy_blue_crew_slim_fit_crew-neck_t-shirt.jpg,True,AJIO,new
3,www.ajio.com/tommy-hilfiger-slim-fit-crew-neck-t-shirt/p/460664581_white,Slim Fit Crew-Neck T-shirt,white,https://assets.ajio.com/medias/sys_master/root/20200806/6xNt/5f2b0aa9aeb2693e045fa380/tommy_hilfiger_white_crew_slim_fit_crew-neck_t-shirt.jpg,True,AJIO,new
4,www.ajio.com/tommy-hilfiger-organic-cotton-v-neck-t-shirt/p/460664580_red,Organic Cotton V-neck T-shirt,red,https://assets.ajio.com/medias/sys_master/root/20200806/Vy55/5f2b0715f997dd22779448a6/tommy_hilfiger_coral_orange_v_organic_cotton_v-neck_t-shirt.jpg,True,AJIO,new
5,www.ajio.com/tommy-hilfiger-crew-neck-t-shirt-with-branding/p/460664478_red,Crew-Neck T-shirt with Branding,red,https://assets.ajio.com/medias/sys_master/root/20200806/eGGO/5f2afd357cdb8ca2cf8ecfe6/tommy_hilfiger_maroon_crew_crew-neck_t-shirt_with_branding.jpg,True,AJIO,new
6,www.ajio.com/tommy-hilfiger-crew-neck-t-shirt-with-branding/p/460664474_pink,Crew-Neck T-shirt with Branding,pink,https://assets.ajio.com/medias/sys_master/root/20200806/Aav2/5f2b05327cdb8ca2cf8f0998/tommy_hilfiger_pink_crew_crew-neck_t-shirt_with_branding.jpg,True,AJIO,new
7,www.ajio.com/other-characters-smiley-print-crew-neck-t-shirt/p/440957362_black,Smiley Print Crew-Neck T-shirt,black,https://assets.ajio.com/medias/sys_master/root/20200805/6EAf/5f29b7767cdb8ca2cf8cdd64/other_characters_black_&_copper_crew_smiley_print_crew-neck_t-shirt.jpg,True,AJIO,new
8,www.ajio.com/superdry-premium-luxe-colourblock-crew-neck-t-shirt/p/410166546_l2w,Premium Luxe Colourblock Crew-Neck T-shirt,l2w,https://assets.ajio.com/medias/sys_master/root/20200806/cLcu/5f2b05ebaeb2693e045f8a3b/superdry_navy_crew_premium_luxe_colourblock_crew-neck_t-shirt.jpg,True,AJIO,new
9,www.ajio.com/superdry-rainbow-logo-print-crew-neck-t-shirt/p/410166496_vfj,Rainbow Logo Print Crew-Neck T-shirt,vfj,https://assets.ajio.com/medias/sys_master/root/20200806/sxvp/5f2afbcbaeb2693e045f5329/superdry_blue_crew_rainbow_logo_print_crew-neck_t-shirt.jpg,True,AJIO,new
10,www.ajio.com/chkokko-heathered-panelled-crew-neck-t-shirt/p/461348068_red,Heathered Panelled Crew-Neck T-shirt,red,https://assets.ajio.com/medias/sys_master/root/20200805/S0jG/5f2ae7cf7cdb8ca2cf8e7f9a/chkokko_red_crew_heathered_panelled_crew-neck_t-shirt.jpg,False,AJIO,new
11,www.ajio.com/chkokko-heathered-panelled-crew-neck-t-shirt/p/461348151_blue,Heathered Panelled Crew-Neck T-shirt,blue,https://assets.ajio.com/medias/sys_master/root/20200806/CdCk/5f2b83f0f997dd227794c113/chkokko_blue_crew_heathered_panelled_crew-neck_t-shirt.jpg,False,AJIO,new
12,www.ajio.com/chkokko-panelled-crew-neck-t-shirt/p/461348165_red,Panelled Crew-Neck T-shirt,red,https://assets.ajio.com/medias/sys_master/root/20200805/kmQ4/5f2ae260aeb2693e045ee257/chkokko_red_crew_panelled_crew-neck_t-shirt.jpg,False,AJIO,new
13,www.ajio.com/chkokko-heathered-crew-neck-t-shirt/p/461348156_green,Heathered Crew-Neck T-shirt,green,https://assets.ajio.com/medias/sys_master/root/20200805/K686/5f2ae1117cdb8ca2cf8e0a8e/chkokko_sea_green_crew_heathered_crew-neck_t-shirt.jpg,False,AJIO,new
14,www.ajio.com/chkokko-crew-neck-t-shirt-with-contrast-panels/p/461348528_blue,Crew-Neck T-shirt with Contrast Panels,blue,https://assets.ajio.com/medias/sys_master/root/20200806/GY6g/5f2b83c4aeb2693e045ff5ea/chkokko_blue_crew_crew-neck_t-shirt_with_contrast_panels.jpg,False,AJIO,new
15,www.ajio.com/chkokko-crew-neck-t-shirt-with-signature-branding/p/461348425_white,Crew-Neck T-shirt with Signature Branding,white,https://assets.ajio.com/medias/sys_master/root/20200805/ZFgi/5f2ae0757cdb8ca2cf8dffa6/chkokko_white_crew_crew-neck_t-shirt_with_signature_branding.jpg,False,AJIO,new
16,www.ajio.com/chkokko-panelled-crew-neck-t-shirt/p/461348150_black,Panelled Crew-Neck T-shirt,black,https://assets.ajio.com/medias/sys_master/root/20200806/ezQ4/5f2b85057cdb8ca2cf8f9fa4/chkokko_black_crew_panelled_crew-neck_t-shirt.jpg,False,AJIO,new
17,www.ajio.com/chkokko-crew-neck-t-shirt-with-contrast-panels/p/461348242_purple,Crew-Neck T-shirt with Contrast Panels,purple,https://assets.ajio.com/medias/sys_master/root/20200805/VACS/5f2adeb37cdb8ca2cf8ddf4f/chkokko_purple_crew_crew-neck_t-shirt_with_contrast_panels.jpg,False,AJIO,new
18,www.ajio.com/chkokko-textured-crew-neck-t-shirt-with-raglan-sleeves/p/461348197_grey,Textured Crew-Neck T-shirt with Raglan Sleeves,grey,https://assets.ajio.com/medias/sys_master/root/20200805/FNXg/5f2addf3aeb2693e045e95d4/chkokko_light_grey_crew_textured_crew-neck_t-shirt_with_raglan_sleeves.jpg,False,AJIO,new
19,www.ajio.com/chkokko-textured-crew-neck-t-shirt-with-contrast-panels/p/461348018_pink,Textured Crew-Neck T-shirt with Contrast Panels,pink,https://assets.ajio.com/medias/sys_master/root/20200805/9zJu/5f2adde0aeb2693e045e9480/chkokko_pink_crew_textured_crew-neck_t-shirt_with_contrast_panels.jpg,False,AJIO,new
