,id,brandId,brandName,styleNumber,colorCount,colorDefaultId,colorSpriteUrl,colorsById,colorIds,enticementIds,enticements,isBeauty,isNordstromMade,isOutfit,isFeatured,isUmap,mediaById,name,priceCurrencyCode,priceCountryCode,pricesById,productPageUrl,reviewCount,reviewStarRating,storeAvailability,PAGE_URL_COMPLETE
0,3965592,8328,LOVEAPPELLA,1053985,2,olive,https://n.nordstrommedia.com/swatchsprite.jpg?photos=15_105780735-18_101672478,"{'midnight blue': {'id': 'midnight blue', 'label': 'MIDNIGHT BLUE', 'spriteIndex': 1, 'mediaIds': ['18_101672478', '14_11693354', '16_11693416'], 'standardColors': ['Blue'], 'swatchMediaId': '18_101672478'}, 'olive': {'id': 'olive', 'label': 'OLIVE', 'spriteIndex': 0, 'mediaIds': ['15_105780735', '18_105780858', '12_105780812'], 'standardColors': ['Green'], 'swatchMediaId': '15_105780735'}}","['olive', 'midnight blue']",[],,False,False,False,False,False,"{'12_105780812': {'id': '12_105780812', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/12/_105780812.jpg'}, '14_11693354': {'id': '14_11693354', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/14/_11693354.jpg'}, '15_105780735': {'id': '15_105780735', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/15/_105780735.jpg'}, '16_11693416': {'id': '16_11693416', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/16/_11693416.jpg'}, '18_101672478': {'id': '18_101672478', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/18/_101672478.jpg'}, '18_105780858': {'id': '18_105780858', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/18/_105780858.jpg'}}",Loveappella Short Sleeve Wrap Top Jumpsuit,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '89.00', 'maxItemPrice': '89.00', 'priceValidUntilDate': None}}",/s/loveappella-short-sleeve-wrap-top-jumpsuit/3965592,293,4.3,,www.nordstrom.com/s/loveappella-short-sleeve-wrap-top-jumpsuit/3965592
1,4610443,3839,VINCE CAMUTO,5355551,3,magenta,https://n.nordstrommedia.com/swatchsprite.jpg?photos=18_107204678-15_100974155-1_104391141,"{'black': {'id': 'black', 'label': 'BLACK', 'spriteIndex': 1, 'mediaIds': ['15_100974155', '15_100974115', '8_100973668'], 'standardColors': ['Black'], 'swatchMediaId': '15_100974155'}, 'ivory': {'id': 'ivory', 'label': 'IVORY', 'spriteIndex': 2, 'mediaIds': ['1_104391141', '3_104391143', '1_103750321'], 'standardColors': ['White'], 'swatchMediaId': '1_104391141'}, 'magenta': {'id': 'magenta', 'label': 'MAGENTA', 'spriteIndex': 0, 'mediaIds': ['18_107204678', '8_107212168', '6_107212166'], 'standardColors': ['Pink'], 'swatchMediaId': '18_107204678'}}","['magenta', 'black', 'ivory']",[],,False,False,False,False,False,"{'15_100974115': {'id': '15_100974115', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/15/_100974115.jpg'}, '15_100974155': {'id': '15_100974155', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/15/_100974155.jpg'}, '18_107204678': {'id': '18_107204678', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/18/_107204678.jpg'}, '1_103750321': {'id': '1_103750321', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/1/_103750321.jpg'}, '1_104391141': {'id': '1_104391141', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/1/_104391141.jpg'}, '3_104391143': {'id': '3_104391143', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/3/_104391143.jpg'}, '6_107212166': {'id': '6_107212166', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/6/_107212166.jpg'}, '8_100973668': {'id': '8_100973668', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/8/_100973668.jpg'}, '8_107212168': {'id': '8_107212168', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/8/_107212168.jpg'}}",Vince Camuto Tie Front Wide Leg Jumpsuit,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '99.00', 'maxItemPrice': '99.00', 'priceValidUntilDate': None}}",/s/vince-camuto-tie-front-wide-leg-jumpsuit/4610443,332,4.2,,www.nordstrom.com/s/vince-camuto-tie-front-wide-leg-jumpsuit/4610443
2,4628861,10986,JULIA JORDAN,5370291,5,ivory,https://n.nordstrommedia.com/swatchsprite.jpg?photos=7_104507827-16_100978456-6_106324166-8_107150308-16_103728396,"{'black': {'id': 'black', 'label': 'BLACK', 'spriteIndex': 1, 'mediaIds': ['16_100978456', '13_100978453', '4_100980064'], 'standardColors': ['Black'], 'swatchMediaId': '16_100978456'}, 'cobalt': {'id': 'cobalt', 'label': 'COBALT', 'spriteIndex': 2, 'mediaIds': ['6_106324166', '5_106324505', '7_106324467'], 'standardColors': ['Blue'], 'swatchMediaId': '6_106324166'}, 'ivory': {'id': 'ivory', 'label': 'IVORY', 'spriteIndex': 0, 'mediaIds': ['7_104507827', '3_104507883', '12_104507732'], 'standardColors': ['Offwhite'], 'swatchMediaId': '7_104507827'}, 'mauve': {'id': 'mauve', 'label': 'MAUVE', 'spriteIndex': 3, 'mediaIds': ['8_107150308', '11_107152651', '9_107152649'], 'standardColors': ['Pink'], 'swatchMediaId': '8_107150308'}, 'navy': {'id': 'navy', 'label': 'NAVY', 'spriteIndex': 4, 'mediaIds': ['16_103728396', '8_104600828', '11_103728251'], 'standardColors': ['Blue'], 'swatchMediaId': '16_103728396'}}","['ivory', 'black', 'cobalt', 'mauve', 'navy']",[],,False,False,False,False,False,"{'11_103728251': {'id': '11_103728251', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/11/_103728251.jpg'}, '11_107152651': {'id': '11_107152651', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/11/_107152651.jpg'}, '12_104507732': {'id': '12_104507732', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/12/_104507732.jpg'}, '13_100978453': {'id': '13_100978453', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/13/_100978453.jpg'}, '16_100978456': {'id': '16_100978456', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/16/_100978456.jpg'}, '16_103728396': {'id': '16_103728396', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/16/_103728396.jpg'}, '3_104507883': {'id': '3_104507883', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/3/_104507883.jpg'}, '4_100980064': {'id': '4_100980064', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/4/_100980064.jpg'}, '5_106324505': {'id': '5_106324505', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/5/_106324505.jpg'}, '6_106324166': {'id': '6_106324166', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/6/_106324166.jpg'}, '7_104507827': {'id': '7_104507827', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/7/_104507827.jpg'}, '7_106324467': {'id': '7_106324467', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/7/_106324467.jpg'}, '8_104600828': {'id': '8_104600828', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/8/_104600828.jpg'}, '8_107150308': {'id': '8_107150308', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/8/_107150308.jpg'}, '9_107152649': {'id': '9_107152649', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/9/_107152649.jpg'}}",Julia Jordan Halter Neck Jumpsuit (Regular & Petite),USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '138.00', 'maxItemPrice': '138.00', 'priceValidUntilDate': None}, 'sale': {'id': 'sale', 'minItemPercentOff': 31, 'maxItemPercentOff': 31, 'minItemPrice': '95.90', 'maxItemPrice': '95.90', 'priceValidUntilDate': None}}",/s/julia-jordan-halter-neck-jumpsuit-regular-petite/4628861,145,4.3,,www.nordstrom.com/s/julia-jordan-halter-neck-jumpsuit-regular-petite/4628861
3,4662232,12966,ALI AND JAY,5396916,4,ocean depths,https://n.nordstrommedia.com/swatchsprite.jpg?photos=18_106944538-0_101194680-8_106246328-15_105372955,"{'black': {'id': 'black', 'label': 'BLACK', 'spriteIndex': 1, 'mediaIds': ['0_101194680', '15_104600875', '15_101194575'], 'standardColors': ['Black'], 'swatchMediaId': '0_101194680'}, 'fig': {'id': 'fig', 'label': 'FIG', 'spriteIndex': 2, 'mediaIds': ['8_106246328', '7_106244787', '7_106244767'], 'standardColors': ['Red'], 'swatchMediaId': '8_106246328'}, 'ocean depths': {'id': 'ocean depths', 'label': 'OCEAN DEPTHS', 'spriteIndex': 0, 'mediaIds': ['18_106944538', '13_106944753', '0_106944720'], 'standardColors': ['Blue', 'Green'], 'swatchMediaId': '18_106944538'}, 'scarlet': {'id': 'scarlet', 'label': 'SCARLET', 'spriteIndex': 3, 'mediaIds': ['15_105372955', '7_105374527', '0_105372760'], 'standardColors': ['Red'], 'swatchMediaId': '15_105372955'}}","['ocean depths', 'black', 'fig', 'scarlet']",['newMarkdown'],,False,False,False,False,False,"{'0_101194680': {'id': '0_101194680', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/0/_101194680.jpg'}, '0_105372760': {'id': '0_105372760', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/0/_105372760.jpg'}, '0_106944720': {'id': '0_106944720', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/0/_106944720.jpg'}, '13_106944753': {'id': '13_106944753', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/13/_106944753.jpg'}, '15_101194575': {'id': '15_101194575', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/15/_101194575.jpg'}, '15_104600875': {'id': '15_104600875', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/15/_104600875.jpg'}, '15_105372955': {'id': '15_105372955', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/15/_105372955.jpg'}, '18_106944538': {'id': '18_106944538', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/18/_106944538.jpg'}, '7_105374527': {'id': '7_105374527', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/7/_105374527.jpg'}, '7_106244767': {'id': '7_106244767', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/7/_106244767.jpg'}, '7_106244787': {'id': '7_106244787', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/7/_106244787.jpg'}, '8_106246328': {'id': '8_106246328', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/8/_106246328.jpg'}}",Ali & Jay Sleeveless Slim Leg Asymmetrical Jumpsuit,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '138.00', 'maxItemPrice': '138.00', 'priceValidUntilDate': None}, 'sale': {'id': 'sale', 'minItemPercentOff': 40, 'maxItemPercentOff': 60, 'minItemPrice': '54.98', 'maxItemPrice': '82.80', 'priceValidUntilDate': None}}",/s/ali-jay-sleeveless-slim-leg-asymmetrical-jumpsuit/4662232,73,4.1,,www.nordstrom.com/s/ali-jay-sleeveless-slim-leg-asymmetrical-jumpsuit/4662232
4,4698914,4519,ELIZA J,5420644,2,navy,https://n.nordstrommedia.com/swatchsprite.jpg?photos=0_101255700-9_103794149,"{'black': {'id': 'black', 'label': 'BLACK', 'spriteIndex': 1, 'mediaIds': ['9_103794149', '2_103794162', '9_103794489'], 'standardColors': ['Black'], 'swatchMediaId': '9_103794149'}, 'navy': {'id': 'navy', 'label': 'NAVY', 'spriteIndex': 0, 'mediaIds': ['0_101255700', '8_101255688', '4_101255764'], 'standardColors': ['Blue'], 'swatchMediaId': '0_101255700'}}","['navy', 'black']",[],,False,False,False,False,False,"{'0_101255700': {'id': '0_101255700', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/0/_101255700.jpg'}, '2_103794162': {'id': '2_103794162', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/2/_103794162.jpg'}, '4_101255764': {'id': '4_101255764', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/4/_101255764.jpg'}, '8_101255688': {'id': '8_101255688', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/8/_101255688.jpg'}, '9_103794149': {'id': '9_103794149', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/9/_103794149.jpg'}, '9_103794489': {'id': '9_103794489', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/9/_103794489.jpg'}}",Eliza J Cap Sleeve Wide Leg Jumpsuit,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '138.00', 'maxItemPrice': '138.00', 'priceValidUntilDate': None}}",/s/eliza-j-cap-sleeve-wide-leg-jumpsuit/4698914,111,4,,www.nordstrom.com/s/eliza-j-cap-sleeve-wide-leg-jumpsuit/4698914
5,4738275,4455,TAHARI,5452017,1,black,https://n.nordstrommedia.com/swatchsprite.jpg?photos=5_101848465,"{'black': {'id': 'black', 'label': 'BLACK', 'spriteIndex': 0, 'mediaIds': ['5_101848465', '0_101848460', '18_101845338'], 'standardColors': ['Black'], 'swatchMediaId': '5_101848465'}}",['black'],[],,False,False,False,False,False,"{'0_101848460': {'id': '0_101848460', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/0/_101848460.jpg'}, '18_101845338': {'id': '18_101845338', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/18/_101845338.jpg'}, '5_101848465': {'id': '5_101848465', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/5/_101848465.jpg'}}",Tahari Crepe Jumpsuit,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '138.00', 'maxItemPrice': '138.00', 'priceValidUntilDate': None}}",/s/tahari-crepe-jumpsuit/4738275,17,4.7,,www.nordstrom.com/s/tahari-crepe-jumpsuit/4738275
6,4940816,1248,BECCA,5608935,1,black,https://n.nordstrommedia.com/swatchsprite.jpg?photos=1_103440401,"{'black': {'id': 'black', 'label': 'BLACK', 'spriteIndex': 0, 'mediaIds': ['1_103440401', '7_103440407', '6_103440406'], 'standardColors': ['Black'], 'swatchMediaId': '1_103440401'}}",['black'],[],,False,False,False,False,False,"{'1_103440401': {'id': '1_103440401', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/1/_103440401.jpg'}, '6_103440406': {'id': '6_103440406', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/6/_103440406.jpg'}, '7_103440407': {'id': '7_103440407', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/7/_103440407.jpg'}}",Becca Breezy Basics Jumpsuit (Nordstrom Exclusive),USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '78.00', 'maxItemPrice': '78.00', 'priceValidUntilDate': None}}",/s/becca-breezy-basics-jumpsuit-nordstrom-exclusive/4940816,71,3.9,,www.nordstrom.com/s/becca-breezy-basics-jumpsuit-nordstrom-exclusive/4940816
7,5062180,7339,ELAN,5697205,1,black/ gold,https://n.nordstrommedia.com/swatchsprite.jpg?photos=4_107227724,"{'black/ gold': {'id': 'black/ gold', 'label': 'BLACK/ GOLD', 'spriteIndex': 0, 'mediaIds': ['4_107227724', '13_107242633', '4_107242624'], 'standardColors': ['Black'], 'swatchMediaId': '4_107227724'}}",['black/ gold'],[],,False,False,False,False,False,"{'13_107242633': {'id': '13_107242633', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/13/_107242633.jpg'}, '4_107227724': {'id': '4_107227724', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/4/_107227724.jpg'}, '4_107242624': {'id': '4_107242624', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/4/_107242624.jpg'}}",Elan Strapless Cover-Up Culotte Jumpsuit,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '84.00', 'maxItemPrice': '84.00', 'priceValidUntilDate': None}}",/s/elan-strapless-cover-up-culotte-jumpsuit/5062180,7,2.6,,www.nordstrom.com/s/elan-strapless-cover-up-culotte-jumpsuit/5062180
8,5067505,12169,FRAICHE BY J,5701440,1,navy,https://n.nordstrommedia.com/swatchsprite.jpg?photos=17_103926717,"{'navy': {'id': 'navy', 'label': 'NAVY', 'spriteIndex': 0, 'mediaIds': ['17_103926717', '0_103926720', '16_103927136'], 'standardColors': ['Blue'], 'swatchMediaId': '17_103926717'}}",['navy'],[],,False,False,False,False,False,"{'0_103926720': {'id': '0_103926720', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/0/_103926720.jpg'}, '16_103927136': {'id': '16_103927136', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/16/_103927136.jpg'}, '17_103926717': {'id': '17_103926717', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/17/_103926717.jpg'}}",Fraiche by J Strapless Jumpsuit,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '99.00', 'maxItemPrice': '99.00', 'priceValidUntilDate': None}}",/s/fraiche-by-j-strapless-jumpsuit/5067505,8,3.1,,www.nordstrom.com/s/fraiche-by-j-strapless-jumpsuit/5067505
9,5109273,9257,CHELSEA28,5733177,1,black,https://n.nordstrommedia.com/swatchsprite.jpg?photos=5_104960265,"{'black': {'id': 'black', 'label': 'BLACK', 'spriteIndex': 0, 'mediaIds': ['5_104960265', '12_104960272', '0_104960060'], 'standardColors': ['Black'], 'swatchMediaId': '5_104960265'}}",['black'],[],,False,True,False,False,False,"{'0_104960060': {'id': '0_104960060', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/0/_104960060.jpg'}, '12_104960272': {'id': '12_104960272', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/12/_104960272.jpg'}, '5_104960265': {'id': '5_104960265', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/5/_104960265.jpg'}}",Chelsea28 Faux Wrap Jumpsuit,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '88.00', 'maxItemPrice': '88.00', 'priceValidUntilDate': None}}",/s/chelsea28-faux-wrap-jumpsuit/5109273,52,4.4,,www.nordstrom.com/s/chelsea28-faux-wrap-jumpsuit/5109273
