,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Dresses/Varanga/Varanga-Women-Black-Quirky-Print-Empire-Dress/8529001/buy,False,,False,8529001,Varanga Women Black Quirky Print Empire Dress,Varanga Women Black Quirky Print Empire Dress,4.099379,322,True,0,,1155,Varanga,http://assets.myntassets.com/assets/images/8529001/2019/1/23/4e3a587b-efd1-418f-bb0d-2c7277abaf4a1548240295109-Varanga-Black-gold-printed-flared-Dress-8861548240292848-1.jpg,0,0,33121873,2242,0,,[],"[{'skuId': 33121871, 'label': 'S', 'inventory': 49, 'available': True}, {'skuId': 33121872, 'label': 'M', 'inventory': 37, 'available': True}, {'skuId': 33121873, 'label': 'L', 'inventory': 10, 'available': True}, {'skuId': 33121874, 'label': 'XL', 'inventory': 0, 'available': False}, {'skuId': 33121876, 'label': 'XXL', 'inventory': 46, 'available': True}]","S,M,L,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/8529001/2019/1/23/4e3a587b-efd1-418f-bb0d-2c7277abaf4a1548240295109-Varanga-Black-gold-printed-flared-Dress-8861548240292848-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/8529001/2019/1/23/4e3a587b-efd1-418f-bb0d-2c7277abaf4a1548240295109-Varanga-Black-gold-printed-flared-Dress-8861548240292848-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/8529001/2019/1/23/83141c6a-1a2a-47b2-ac51-3185d44e04051548240295023-Varanga-Black-gold-printed-flared-Dress-8861548240292848-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/8529001/2019/1/23/bb626ed1-9301-44a5-8d97-5e63dc9636921548240295037-Varanga-Black-gold-printed-flared-Dress-8861548240292848-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/8529001/2019/1/23/5450d258-828a-4d19-825a-adc3a48b0c151548240295076-Varanga-Black-gold-printed-flared-Dress-8861548240292848-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/8529001/2019/1/23/5f83e2db-cf30-41a8-af73-9004516ebb341548240295054-Varanga-Black-gold-printed-flared-Dress-8861548240292848-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/8529001/2019/1/23/11879307-03e7-4158-bd1f-43ea258a508e1548240295092-Varanga-Black-gold-printed-flared-Dress-8861548240292848-2.jpg'}]",Women,Black,Flat_Search_Percent,(55% OFF),Quirky Print Empire Dress,Dresses,2099,944,,False,,0,1,,1547683200000,Summer,2019,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Dresses/Varanga/Varanga-Women-Black-Quirky-Print-Empire-Dress/8529001/buy
1,Dresses/W/W-Women-Green--Peach-Coloured-Printed-Maxi-Dress/10207393/buy,False,,False,10207393,W Women Green & Peach-Coloured Printed Maxi Dress,W Women Green & Peach-Coloured Printed Maxi Dress,4.448276,29,True,0,,2000,W,http://assets.myntassets.com/assets/images/10207393/2019/11/18/f5f9c8cd-566a-4bd7-ae90-ebb2c84834721574081689951-W-Women-Dresses-8151574081687164-1.jpg,0,0,34971484,33,0,,[],"[{'skuId': 34971481, 'label': 'XS', 'inventory': 21, 'available': True}, {'skuId': 34971482, 'label': 'S', 'inventory': 179, 'available': True}, {'skuId': 34971483, 'label': 'M', 'inventory': 199, 'available': True}, {'skuId': 34971484, 'label': 'L', 'inventory': 51, 'available': True}, {'skuId': 34971485, 'label': 'XL', 'inventory': 29, 'available': True}, {'skuId': 34971486, 'label': 'XXL', 'inventory': 19, 'available': True}, {'skuId': 34971487, 'label': '3XL', 'inventory': 3, 'available': True}]","XS,S,M,L,XL,XXL,3XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/10207393/2019/11/18/f5f9c8cd-566a-4bd7-ae90-ebb2c84834721574081689951-W-Women-Dresses-8151574081687164-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/10207393/2019/11/18/f5f9c8cd-566a-4bd7-ae90-ebb2c84834721574081689951-W-Women-Dresses-8151574081687164-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/10207393/2019/11/18/ae4a15ac-71bf-4a3c-9ab2-e8b82427bfb51574081689668-W-Women-Dresses-8151574081687164-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/10207393/2019/11/18/f3c0cf41-014e-425d-95b5-8686ccb031ac1574081689723-W-Women-Dresses-8151574081687164-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/10207393/2019/11/18/071e0eaf-ea9e-4e27-9b9a-e2c4eedf12811574081689842-W-Women-Dresses-8151574081687164-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/10207393/2019/11/18/9cf02b3f-b08f-4456-b6dc-6bd696e900161574081689784-W-Women-Dresses-8151574081687164-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/10207393/2019/11/18/a8585e13-b84f-49a5-b593-9271dbf4eeb81574081689900-W-Women-Dresses-8151574081687164-2.jpg'}]",Women,Green,Flat_Search_Percent,(50% OFF),Women Printed Maxi Dress,Dresses,3999,1999,,False,,0,1,,1573689600000,Fall,2019,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Dresses/W/W-Women-Green--Peach-Coloured-Printed-Maxi-Dress/10207393/buy
2,Dresses/Vishudh/Vishudh-Women-Purple-Printed-Maxi-Dress/8831443/buy,False,,False,8831443,Vishudh Women Purple Printed Maxi Dress,Vishudh Women Purple Printed Maxi Dress,3.1965811,351,True,0,,1375,Vishudh,http://assets.myntassets.com/assets/images/productimage/2019/2/18/818d5abc-7760-4fb3-b609-e3b9863e07d61550506908300-1.jpg,0,0,33482057,4214,0,,[],"[{'skuId': 33482055, 'label': 'S', 'inventory': 438, 'available': True}, {'skuId': 33482056, 'label': 'M', 'inventory': 584, 'available': True}, {'skuId': 33482057, 'label': 'L', 'inventory': 496, 'available': True}, {'skuId': 33482058, 'label': 'XL', 'inventory': 435, 'available': True}, {'skuId': 33482059, 'label': 'XXL', 'inventory': 332, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/2/18/818d5abc-7760-4fb3-b609-e3b9863e07d61550506908300-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/2/18/818d5abc-7760-4fb3-b609-e3b9863e07d61550506908300-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/2/18/471f2997-4d88-498f-b65e-155179d479121550506908436-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/2/18/405e7de3-d8b9-42aa-99f3-1a7da093220f1550506908365-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/2/18/e8eadbc2-ff61-4582-a6e8-edb86ae5522b1550506908399-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/2/18/72bb07d5-3302-49c2-b331-88ff3dd8c7211550506908335-2.jpg'}]",Women,Purple,Flat_Search_Percent,(55% OFF),Women Printed Maxi Dress,Dresses,2499,1124,,False,,0,1,,1550102400000,Summer,2019,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Dresses/Vishudh/Vishudh-Women-Purple-Printed-Maxi-Dress/8831443/buy
3,Dresses/Vishudh/Vishudh-Women-Black-Printed-Maxi-Dress/8085085/buy,False,,False,8085085,Vishudh Women Black Printed Maxi Dress,Vishudh Women Black Printed Maxi Dress,4.160173,462,True,0,,1230,Vishudh,http://assets.myntassets.com/assets/images/productimage/2018/12/4/817ad75c-f13e-4c6a-89ca-88d9582ac5871543921329282-1.jpg,0,0,32605666,4214,0,,[],"[{'skuId': 32605655, 'label': 'S', 'inventory': 0, 'available': False}, {'skuId': 32605663, 'label': 'M', 'inventory': 10, 'available': True}, {'skuId': 32605664, 'label': 'L', 'inventory': 201, 'available': True}, {'skuId': 32605666, 'label': 'XL', 'inventory': 140, 'available': True}, {'skuId': 32605668, 'label': 'XXL', 'inventory': 47, 'available': True}]","M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2018/12/4/817ad75c-f13e-4c6a-89ca-88d9582ac5871543921329282-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2018/12/4/817ad75c-f13e-4c6a-89ca-88d9582ac5871543921329282-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2018/12/4/60c1a18c-7bd9-4091-bd8b-14b425f5ab291543921329376-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2018/12/4/6e58a033-0a8c-4dd9-bc20-136bb9c04d5e1543921329324-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2018/12/4/ee94d319-f55b-4e21-8375-3c9c11b8fc0a1543921329304-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2018/12/4/829fa00d-5bb1-4ce6-a642-b6766576fd301543921329354-4.jpg'}]",Women,Black,Flat_Search_Percent,(60% OFF),Women Printed Maxi Dress,Dresses,2049,819,,False,,0,1,,1543449600000,Summer,2018,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Dresses/Vishudh/Vishudh-Women-Black-Printed-Maxi-Dress/8085085/buy
4,Dresses/Taavi/Taavi-Women-Blue-Indigo-Hand-Block-Print-A-Line-Dress-with-Gathers-Detail/8857071/buy,False,,False,8857071,Taavi Women Blue Indigo Hand Block Print A-Line Dress with Gathers Detail,Taavi Women Blue Indigo Hand Block Print A-Line Dress with Gathers Detail,3.9847715,197,True,0,,780,Taavi,http://assets.myntassets.com/assets/images/8857071/2019/4/4/f6294206-db27-47ef-a13c-2462ed32112f1554378087388-Taavi-Women-Blue-Indigo-Hand-Block-Print-A-Line-Dress-with-G-1.jpg,0,0,33502175,4036,0,,[],"[{'skuId': 33502175, 'label': 'XS', 'inventory': 10, 'available': True}, {'skuId': 33502177, 'label': 'S', 'inventory': 65, 'available': True}, {'skuId': 33502179, 'label': 'M', 'inventory': 195, 'available': True}, {'skuId': 33502181, 'label': 'L', 'inventory': 248, 'available': True}, {'skuId': 33502183, 'label': 'XL', 'inventory': 106, 'available': True}]","XS,S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/8857071/2019/4/4/f6294206-db27-47ef-a13c-2462ed32112f1554378087388-Taavi-Women-Blue-Indigo-Hand-Block-Print-A-Line-Dress-with-G-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/8857071/2019/4/4/f6294206-db27-47ef-a13c-2462ed32112f1554378087388-Taavi-Women-Blue-Indigo-Hand-Block-Print-A-Line-Dress-with-G-1.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/8857071/2019/4/4/630a2572-8d88-4aa0-bc5f-164b092e05281554378087365-Taavi-Women-Blue-Indigo-Hand-Block-Print-A-Line-Dress-with-G-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/8857071/2019/4/4/6022e547-8725-49f2-a930-8d5275e7dc331554378087354-Taavi-Women-Blue-Indigo-Hand-Block-Print-A-Line-Dress-with-G-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/8857071/2019/4/4/0672398e-673e-4ae3-ae73-4739a7461a3f1554378087377-Taavi-Women-Blue-Indigo-Hand-Block-Print-A-Line-Dress-with-G-2.jpg'}]",Women,Blue,Flat_Search_Percent,( 30 % OFF),Indigo Hand Block Print Dress,Dresses,2599,1819,,False,,0,1024,"Or Buy 2 @MRP, get 1 Free*",1554336000000,Spring,2019,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Dresses/Taavi/Taavi-Women-Blue-Indigo-Hand-Block-Print-A-Line-Dress-with-Gathers-Detail/8857071/buy
5,Dresses/Vishudh/Vishudh--Printed-Aline-Midi-Dress/8662577/buy,False,,False,8662577,Vishudh  Printed Aline Midi Dress,Vishudh  Printed Aline Midi Dress,4.084746,177,True,0,,1700,Vishudh,http://assets.myntassets.com/assets/images/productimage/2019/1/29/b36dc5de-7d1d-4a72-8099-3dff3c2709d21548761602292-1.jpg,0,0,33278468,4214,0,,[],"[{'skuId': 33278466, 'label': 'S', 'inventory': 65, 'available': True}, {'skuId': 33278465, 'label': 'M', 'inventory': 229, 'available': True}, {'skuId': 33278468, 'label': 'L', 'inventory': 139, 'available': True}, {'skuId': 33278469, 'label': 'XL', 'inventory': 33, 'available': True}, {'skuId': 33278470, 'label': 'XXL', 'inventory': 61, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/1/29/b36dc5de-7d1d-4a72-8099-3dff3c2709d21548761602292-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/1/29/b36dc5de-7d1d-4a72-8099-3dff3c2709d21548761602292-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/1/29/90b7b419-471e-497d-a4b9-b49acc806c701548761602385-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/1/29/7988eaed-1297-4373-a5fd-cdaea0c0df8c1548761602336-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/1/29/7b82bf0a-9240-4a64-acd2-f9bd6504ab911548761602313-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/1/29/2eb0b77c-56a8-47e8-a47d-00f46dd8f8ca1548761602360-4.jpg'}]",Women,Navy Blue,Flat_Search_Percent,(68% OFF),Aline Midi Dress,Dresses,2499,799,,False,,0,1,,1548288000000,Summer,2019,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Dresses/Vishudh/Vishudh--Printed-Aline-Midi-Dress/8662577/buy
6,Dresses/Anouk/Anouk-Women-Mustard-Printed-Fit-and-Flare-Dress/7745356/buy,False,,False,7745356,Anouk Women Mustard Printed Fit and Flare Dress,Anouk Women Mustard Printed Fit and Flare Dress,3.9807692,156,True,0,,630,Anouk,http://assets.myntassets.com/assets/images/7745356/2019/3/5/7ce0c41b-29b2-4d12-b220-6df779e729ee1551785559724-Anouk-Women-Dresses-7011551785557779-1.jpg,0,0,32291554,4216,0,,[],"[{'skuId': 32291533, 'label': 'XS', 'inventory': 25, 'available': True}, {'skuId': 32291544, 'label': 'S', 'inventory': 22, 'available': True}, {'skuId': 32291554, 'label': 'M', 'inventory': 32, 'available': True}, {'skuId': 32291564, 'label': 'L', 'inventory': 59, 'available': True}, {'skuId': 32291573, 'label': 'XL', 'inventory': 84, 'available': True}]","XS,S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/7745356/2019/3/5/7ce0c41b-29b2-4d12-b220-6df779e729ee1551785559724-Anouk-Women-Dresses-7011551785557779-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/7745356/2019/3/5/7ce0c41b-29b2-4d12-b220-6df779e729ee1551785559724-Anouk-Women-Dresses-7011551785557779-1.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/7745356/2019/3/5/42f66aa3-745c-4e50-bb7e-750f0ab5f0e61551785559693-Anouk-Women-Dresses-7011551785557779-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/7745356/2019/3/5/57c1082a-7651-4899-afb3-e84d98306ac81551785559675-Anouk-Women-Dresses-7011551785557779-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/7745356/2019/3/5/37011606-dfa5-43d8-820c-a21633bd36631551785559711-Anouk-Women-Dresses-7011551785557779-2.jpg'}]",Women,Mustard,Flat_Search_Percent,( 30 % OFF),Women Printed Fit and Flare Dress,Dresses,2099,1469,,False,,0,1024,"Or Buy 2 @MRP, get 1 Free*",1551312000000,Spring,2019,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Dresses/Anouk/Anouk-Women-Mustard-Printed-Fit-and-Flare-Dress/7745356/buy
7,Dresses/Taavi/Taavi-Women-Black--Beige-South-Cotton-Woven-Legacy-A-Line-Midi-Dress-with-Pockets/7032939/buy,False,,False,7032939,Taavi Women Black & Beige South Cotton Woven Legacy A-Line Midi Dress with Pockets,Taavi Women Black & Beige South Cotton Woven Legacy A-Line Midi Dress with Pockets,4.0869565,207,True,0,,1045,Taavi,http://assets.myntassets.com/assets/images/7032939/2018/10/3/12c9b56b-8d14-4d26-ba62-55af81e574421538544575286-Taavi-Women-Black--Beige-Woven-Legacy-South-Cotton-A-Line-Mi-1.jpg,0,0,31049646,4036,0,,[],"[{'skuId': 31049644, 'label': 'XS', 'inventory': 0, 'available': False}, {'skuId': 31049646, 'label': 'S', 'inventory': 24, 'available': True}, {'skuId': 31049648, 'label': 'M', 'inventory': 15, 'available': True}, {'skuId': 31049651, 'label': 'L', 'inventory': 87, 'available': True}, {'skuId': 31049653, 'label': 'XL', 'inventory': 5, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/7032939/2018/10/3/12c9b56b-8d14-4d26-ba62-55af81e574421538544575286-Taavi-Women-Black--Beige-Woven-Legacy-South-Cotton-A-Line-Mi-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/7032939/2018/10/3/12c9b56b-8d14-4d26-ba62-55af81e574421538544575286-Taavi-Women-Black--Beige-Woven-Legacy-South-Cotton-A-Line-Mi-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/7032939/2018/10/3/6fa42440-a492-4a3a-9854-96d75cfdf4371538544575212-Taavi-Women-Black--Beige-Woven-Legacy-South-Cotton-A-Line-Mi-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/7032939/2018/10/3/c9ae459b-b73d-479d-aabf-7b4d0ad37c091538544575248-Taavi-Women-Black--Beige-Woven-Legacy-South-Cotton-A-Line-Mi-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/7032939/2018/10/3/443935ba-63a0-4e4e-ade5-54c0ad92c9f01538544575233-Taavi-Women-Black--Beige-Woven-Legacy-South-Cotton-A-Line-Mi-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/7032939/2018/10/3/93210a42-2ddf-46e8-932a-bf2b6d54e67f1538544575265-Taavi-Women-Black--Beige-Woven-Legacy-South-Cotton-A-Line-Mi-2.jpg'}]",Women,Black,Flat_Search_Amount,(Rs. 1045 OFF),South Cotton Dress,Dresses,1899,854,,False,,0,1,,1538611200000,Summer,2019,False,,,0,,[],www.myntra.com/Dresses/Taavi/Taavi-Women-Black--Beige-South-Cotton-Woven-Legacy-A-Line-Midi-Dress-with-Pockets/7032939/buy
8,Dresses/Varanga/Varanga-Women-Green--Black-Quirky-Print-Empire-Dress/8529059/buy,False,23:pla_1594474146346,True,8529059,Varanga Women Green & Black Quirky Print Empire Dress,Varanga Women Green & Black Quirky Print Empire Dress,4.064516,31,True,0,,1320,Varanga,http://assets.myntassets.com/assets/images/8529059/2019/1/23/68b5ca36-4be1-43b9-a7d6-ad54047427b31548240757746-Varanga-green-printed-flared-Dress-with-a-belt-1361548240755-1.jpg,0,0,33122012,2242,0,,[],"[{'skuId': 33122010, 'label': 'S', 'inventory': 38, 'available': True}, {'skuId': 33122011, 'label': 'M', 'inventory': 16, 'available': True}, {'skuId': 33122012, 'label': 'L', 'inventory': 68, 'available': True}, {'skuId': 33122013, 'label': 'XL', 'inventory': 26, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/8529059/2019/1/23/68b5ca36-4be1-43b9-a7d6-ad54047427b31548240757746-Varanga-green-printed-flared-Dress-with-a-belt-1361548240755-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/8529059/2019/1/23/68b5ca36-4be1-43b9-a7d6-ad54047427b31548240757746-Varanga-green-printed-flared-Dress-with-a-belt-1361548240755-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/8529059/2019/1/23/9b9957cc-dc09-4b99-82b7-2c217715186e1548240757645-Varanga-green-printed-flared-Dress-with-a-belt-1361548240755-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/8529059/2019/1/23/37fc24f4-0e29-4318-a663-a6c623053ea61548240757693-Varanga-green-printed-flared-Dress-with-a-belt-1361548240755-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/8529059/2019/1/23/e8f58da5-5604-459d-9e1b-5d604a0d1f641548240757668-Varanga-green-printed-flared-Dress-with-a-belt-1361548240755-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/8529059/2019/1/23/4c7353c9-503e-4d78-9a1b-b71a5aa2708d1548240757718-Varanga-green-printed-flared-Dress-with-a-belt-1361548240755-2.jpg'}]",Women,Green,Flat_Search_Percent,(60% OFF),Quirky Print Empire Dress,Dresses,2199,879,,False,,0,1,,1547683200000,Summer,2019,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Dresses/Varanga/Varanga-Women-Green--Black-Quirky-Print-Empire-Dress/8529059/buy
9,Dresses/AKS/AKS-Women-Off-White--Golden-Printed-Maxi-Dress/9269439/buy,False,,False,9269439,AKS Women Off-White & Golden Printed Maxi Dress,AKS Women Off-White & Golden Printed Maxi Dress,4.1375,160,True,0,,640,AKS,http://assets.myntassets.com/assets/images/9269439/2019/4/19/14321551-e060-498d-be8e-571ceaa7ac761555668743304-AKS-Women-Off-White--Golden-Printed-Maxi-Dress-5951555668741-1.jpg,0,0,33986497,4216,0,,[],"[{'skuId': 33986494, 'label': 'S', 'inventory': 0, 'available': False}, {'skuId': 33986496, 'label': 'M', 'inventory': 17, 'available': True}, {'skuId': 33986497, 'label': 'L', 'inventory': 52, 'available': True}, {'skuId': 33986498, 'label': 'XL', 'inventory': 39, 'available': True}, {'skuId': 33986499, 'label': 'XXL', 'inventory': 50, 'available': True}]","M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/9269439/2019/4/19/14321551-e060-498d-be8e-571ceaa7ac761555668743304-AKS-Women-Off-White--Golden-Printed-Maxi-Dress-5951555668741-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/9269439/2019/4/19/14321551-e060-498d-be8e-571ceaa7ac761555668743304-AKS-Women-Off-White--Golden-Printed-Maxi-Dress-5951555668741-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/9269439/2019/4/19/cbcf35fe-3482-4ec9-8f30-2c6f5301a10a1555668743224-AKS-Women-Off-White--Golden-Printed-Maxi-Dress-5951555668741-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/9269439/2019/4/19/305ffa5d-c7d4-4462-93f7-8438aa088a8a1555668743263-AKS-Women-Off-White--Golden-Printed-Maxi-Dress-5951555668741-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/9269439/2019/4/19/59420b17-17d4-4b9f-b22c-3c8f6c6c76821555668743240-AKS-Women-Off-White--Golden-Printed-Maxi-Dress-5951555668741-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/9269439/2019/4/19/922173c5-7f43-4246-9916-b3c752807a221555668743284-AKS-Women-Off-White--Golden-Printed-Maxi-Dress-5951555668741-2.jpg'}]",Women,Off White,Flat_Search_Percent,(32% OFF),Women Printed Maxi Dress,Dresses,1999,1359,,False,,0,1,,1554940800000,Summer,2019,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Dresses/AKS/AKS-Women-Off-White--Golden-Printed-Maxi-Dress/9269439/buy
