,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Tops/Ives/Ives-Women-Olive-Green-Solid-Shirt-Style-Top/8375271/buy,False,,False,8375271,Ives Women Olive Green Solid Shirt Style Top,Ives Women Olive Green Solid Shirt Style Top,3.9907346,1511,True,0,,550,Ives,http://assets.myntassets.com/assets/images/8375271/2019/1/7/582995a9-d9c8-4129-8538-bf6492edc0191546853353174-Ives-Women-Olive-Green-Solid-Shirt-Style-Top-342154685335233-1.jpg,0,0,32904933,2182,0,,[],"[{'skuId': 32904931, 'label': 'S', 'inventory': 225, 'available': True}, {'skuId': 32904932, 'label': 'M', 'inventory': 298, 'available': True}, {'skuId': 32904933, 'label': 'L', 'inventory': 157, 'available': True}, {'skuId': 32904934, 'label': 'XL', 'inventory': 131, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/8375271/2019/1/7/582995a9-d9c8-4129-8538-bf6492edc0191546853353174-Ives-Women-Olive-Green-Solid-Shirt-Style-Top-342154685335233-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/8375271/2019/1/7/582995a9-d9c8-4129-8538-bf6492edc0191546853353174-Ives-Women-Olive-Green-Solid-Shirt-Style-Top-342154685335233-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/8375271/2019/1/7/1f464d2a-9c64-43a6-a877-aeac3a317ef31546853353117-Ives-Women-Olive-Green-Solid-Shirt-Style-Top-342154685335233-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/8375271/2019/1/7/861a97a2-b569-482b-b8e4-41f0f7d562b41546853353140-Ives-Women-Olive-Green-Solid-Shirt-Style-Top-342154685335233-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/8375271/2019/1/7/51d8b738-7205-4fcc-8472-f653aa21fb561546853353127-Ives-Women-Olive-Green-Solid-Shirt-Style-Top-342154685335233-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/8375271/2019/1/7/5e0cdb25-c0de-45f7-bd69-dbfd9293d8b81546853353155-Ives-Women-Olive-Green-Solid-Shirt-Style-Top-342154685335233-2.jpg'}]",Women,Olive,Flat_Search_Percent,(50% OFF),Solid Shirt Style Top,Tops,1099,549,,False,,0,1,,1546473600000,Summer,2018,False,,,0,,[],www.myntra.com/Tops/Ives/Ives-Women-Olive-Green-Solid-Shirt-Style-Top/8375271/buy
1,Tops/SASSAFRAS/SASSAFRAS-Women-Black-Solid-Semi-Sheer-Longline-A-Line-Top/9070277/buy,False,,False,9070277,SASSAFRAS Women Black Solid Semi-Sheer Longline A-Line Top,SASSAFRAS Women Black Solid Semi-Sheer Longline A-Line Top,4.398329,1436,True,0,,650,SASSAFRAS,http://assets.myntassets.com/assets/images/9070277/2019/4/1/778bd489-d0e5-46ab-be0e-e03af9b794e11554109637847-SASSAFRAS-Women-Tops-3961554109636914-1.jpg,0,0,33754919,4028,0,,[],"[{'skuId': 33754916, 'label': 'XS', 'inventory': 400, 'available': True}, {'skuId': 33754919, 'label': 'S', 'inventory': 459, 'available': True}, {'skuId': 33754920, 'label': 'M', 'inventory': 547, 'available': True}, {'skuId': 33754923, 'label': 'L', 'inventory': 36, 'available': True}, {'skuId': 33754924, 'label': 'XL', 'inventory': 106, 'available': True}]","XS,S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/9070277/2019/4/1/778bd489-d0e5-46ab-be0e-e03af9b794e11554109637847-SASSAFRAS-Women-Tops-3961554109636914-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/9070277/2019/4/1/778bd489-d0e5-46ab-be0e-e03af9b794e11554109637847-SASSAFRAS-Women-Tops-3961554109636914-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/9070277/2019/4/1/715bdaee-51b9-496f-8acf-9182ef9e572f1554109637773-SASSAFRAS-Women-Tops-3961554109636914-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/9070277/2019/4/1/4b654b3b-5202-4301-9dcd-2dd914a444f91554109637805-SASSAFRAS-Women-Tops-3961554109636914-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/9070277/2019/4/1/38a6eeb3-475e-47f3-9f5d-f6b5f654b9441554109637786-SASSAFRAS-Women-Tops-3961554109636914-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/9070277/2019/4/1/bf7f21ac-94b1-47c9-8825-aace628cfc811554109637827-SASSAFRAS-Women-Tops-3961554109636914-2.jpg'}]",Women,Black,Flat_Search_Percent,(50% OFF),Solid A-Line Top,Tops,1299,649,,False,,0,1,,1553731200000,Spring,2019,False,,,0,,[],www.myntra.com/Tops/SASSAFRAS/SASSAFRAS-Women-Black-Solid-Semi-Sheer-Longline-A-Line-Top/9070277/buy
2,Tops/Pannkh/Pannkh-Women-Navy-Blue-Printed-Top/2506738/buy,False,,False,2506738,Pannkh Women Navy Blue Printed Top,Pannkh Women Navy Blue Printed Top,3.9496856,795,True,0,,450,Pannkh,http://assets.myntassets.com/assets/images/2506738/2018/7/18/df0c1d8c-528d-4afd-9714-a40c19b105ec1531903512284-Pannkh-Women-Navy-Blue-Printed-Top-6761531903512079-1.jpg,0,0,15755236,2031,0,,[],"[{'skuId': 15755236, 'label': 'XS', 'inventory': 0, 'available': False}, {'skuId': 15755240, 'label': 'S', 'inventory': 2, 'available': True}, {'skuId': 15755238, 'label': 'M', 'inventory': 34, 'available': True}, {'skuId': 15755234, 'label': 'L', 'inventory': 20, 'available': True}, {'skuId': 15755230, 'label': 'XL', 'inventory': 31, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/2506738/2018/7/18/df0c1d8c-528d-4afd-9714-a40c19b105ec1531903512284-Pannkh-Women-Navy-Blue-Printed-Top-6761531903512079-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/2506738/2018/7/18/df0c1d8c-528d-4afd-9714-a40c19b105ec1531903512284-Pannkh-Women-Navy-Blue-Printed-Top-6761531903512079-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/2506738/2018/7/18/49e1417a-8696-471a-b1e3-0ccbb47b917a1531903512159-Pannkh-Women-Navy-Blue-Printed-Top-6761531903512079-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/2506738/2018/7/18/c0e43db5-8df9-492d-85dd-9775adcb9ac81531903512216-Pannkh-Women-Navy-Blue-Printed-Top-6761531903512079-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/2506738/2018/7/18/9643a585-6d2c-4379-88d8-57777e0cf0321531903512192-Pannkh-Women-Navy-Blue-Printed-Top-6761531903512079-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/2506738/2018/7/18/bd70e27a-21e3-4abc-bda7-f780296e493e1531903512255-Pannkh-Women-Navy-Blue-Printed-Top-6761531903512079-2.jpg'}]",Women,Navy Blue,Flat_Search_Percent,(45% OFF),Printed Top,Tops,999,549,,False,,0,1,,1518652800000,Summer,2018,False,,,0,,[],www.myntra.com/Tops/Pannkh/Pannkh-Women-Navy-Blue-Printed-Top/2506738/buy
3,Tops/Harpa/Harpa-Women-Mustard-Yellow-Polka-Dot-Print-Wrap-Top/8986017/buy,False,,False,8986017,Harpa Women Mustard Yellow Polka Dot Print Wrap Top,Harpa Women Mustard Yellow Polka Dot Print Wrap Top,3.8668919,1480,True,0,,600,Harpa,http://assets.myntassets.com/assets/images/8986017/2019/3/14/09e033fa-9925-4f5f-b5aa-6aac32307fed1552553406848-Harpa-Women-Tops-4791552553405672-1.jpg,0,0,33654132,609,0,,[],"[{'skuId': 33654132, 'label': 'S', 'inventory': 251, 'available': True}, {'skuId': 33654133, 'label': 'M', 'inventory': 298, 'available': True}, {'skuId': 33654134, 'label': 'L', 'inventory': 404, 'available': True}, {'skuId': 33654136, 'label': 'XL', 'inventory': 290, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/8986017/2019/3/14/09e033fa-9925-4f5f-b5aa-6aac32307fed1552553406848-Harpa-Women-Tops-4791552553405672-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/8986017/2019/3/14/09e033fa-9925-4f5f-b5aa-6aac32307fed1552553406848-Harpa-Women-Tops-4791552553405672-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/8986017/2019/3/14/71e158b0-fdbb-49fc-ad5a-48c71e05e28e1552553406735-Harpa-Women-Tops-4791552553405672-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/8986017/2019/3/14/b9944ff3-1e72-4a3e-a710-3fb716642a861552553406784-Harpa-Women-Tops-4791552553405672-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/8986017/2019/3/14/5b05a91d-49b2-4558-8b24-128253b5a9e41552553406760-Harpa-Women-Tops-4791552553405672-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/8986017/2019/3/14/bb019a96-e817-4f8c-b6f8-3c852811d1861552553406810-Harpa-Women-Tops-4791552553405672-2.jpg'}]",Women,Mustard,Flat_Search_Percent,(50% OFF),Polka Dot Print Wrap Top,Tops,1199,599,,False,,0,1,,1552521600000,Summer,2019,False,,,0,,[],www.myntra.com/Tops/Harpa/Harpa-Women-Mustard-Yellow-Polka-Dot-Print-Wrap-Top/8986017/buy
4,Tops/Harpa/Harpa-Women-Black-Solid-Top-with-Floral-Embroidery/7578956/buy,False,,False,7578956,Harpa Women Black Solid Top with Floral Embroidery,Harpa Women Black Solid Top with Floral Embroidery,4.087404,778,True,0,,850,Harpa,http://assets.myntassets.com/assets/images/7578956/2018/10/24/629593a1-1d44-4539-9342-c46f82bbe20d1540383624409-Harpa-Women-Tops-3891540383624283-1.jpg,0,0,32005570,609,0,,[],"[{'skuId': 32005570, 'label': 'S', 'inventory': 88, 'available': True}, {'skuId': 32005571, 'label': 'M', 'inventory': 144, 'available': True}, {'skuId': 32005572, 'label': 'L', 'inventory': 18, 'available': True}, {'skuId': 32005573, 'label': 'XL', 'inventory': 27, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/7578956/2018/10/24/629593a1-1d44-4539-9342-c46f82bbe20d1540383624409-Harpa-Women-Tops-3891540383624283-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/7578956/2018/10/24/629593a1-1d44-4539-9342-c46f82bbe20d1540383624409-Harpa-Women-Tops-3891540383624283-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/7578956/2018/10/24/bd9b0714-f94d-4a36-83c3-1de59c4c88d21540383624430-Harpa-Women-Tops-3891540383624283-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/7578956/2018/10/24/03af2c93-7f0b-4146-9aac-71e75ba2af931540383624370-Harpa-Women-Tops-3891540383624283-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/7578956/2018/10/24/66e787f5-cb82-4402-95f8-a08a7b98cd231540383624357-Harpa-Women-Tops-3891540383624283-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/7578956/2018/10/24/01853611-5268-431e-8273-6bae0a1a68dd1540383624391-Harpa-Women-Tops-3891540383624283-2.jpg'}]",Women,Black,Flat_Search_Percent,(50% OFF),Top with Floral Embroidery,Tops,1699,849,,False,,0,1,,1540425600000,Summer,2019,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Tops/Harpa/Harpa-Women-Black-Solid-Top-with-Floral-Embroidery/7578956/buy
5,Tshirts/ether/ether-Women-Pink-Printed-Round-Neck-T-shirt/7022225/buy,False,,False,7022225,ether Women Pink Printed Round Neck T-shirt,ether Women Pink Printed Round Neck T-shirt,3.6388888,36,True,0,,180,ether,http://assets.myntassets.com/assets/images/7022225/2019/3/5/8659215b-9e43-4f35-a9d8-2120cb8893971551764597804-ether-Women-Pink-Printed-Round-Neck-T-shirt-9221551764596509-1.jpg,0,0,31031849,4027,0,,[],"[{'skuId': 31031843, 'label': 'S', 'inventory': 105, 'available': True}, {'skuId': 31031848, 'label': 'M', 'inventory': 89, 'available': True}, {'skuId': 31031849, 'label': 'L', 'inventory': 41, 'available': True}, {'skuId': 31031850, 'label': 'XL', 'inventory': 79, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/7022225/2019/3/5/8659215b-9e43-4f35-a9d8-2120cb8893971551764597804-ether-Women-Pink-Printed-Round-Neck-T-shirt-9221551764596509-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/7022225/2019/3/5/8659215b-9e43-4f35-a9d8-2120cb8893971551764597804-ether-Women-Pink-Printed-Round-Neck-T-shirt-9221551764596509-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/7022225/2019/3/5/7cff6f46-ccfc-42c8-a494-51d8727ed4d01551764597727-ether-Women-Pink-Printed-Round-Neck-T-shirt-9221551764596509-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/7022225/2019/3/5/5944e803-e05b-4829-be8c-fde10441790d1551764597739-ether-Women-Pink-Printed-Round-Neck-T-shirt-9221551764596509-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/7022225/2019/3/5/bacf544f-2cea-46ed-8791-9258372bbedb1551764597776-ether-Women-Pink-Printed-Round-Neck-T-shirt-9221551764596509-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/7022225/2019/3/5/9aedc065-11f2-4ef7-ac75-a5e8d44b5cea1551764597762-ether-Women-Pink-Printed-Round-Neck-T-shirt-9221551764596509-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/7022225/2019/3/5/de041c8b-0ca9-4a37-93ef-aa534d9009541551764597791-ether-Women-Pink-Printed-Round-Neck-T-shirt-9221551764596509-2.jpg'}]",Women,Pink,Flat_Search_Percent,( 30 % OFF),Printed Round Neck Pink T-shirt,Tshirts,599,419,,False,,0,1024,"Or Buy 2 @MRP, get 1 Free*",1551312000000,Fall,2018,False,,,0,,[],www.myntra.com/Tshirts/ether/ether-Women-Pink-Printed-Round-Neck-T-shirt/7022225/buy
6,Tshirts/Roadster/Roadster-Women-Black-Solid-Round-Neck-T-shirt/2439138/buy,False,,False,2439138,Roadster Women Black Solid Round Neck T-shirt,Roadster Women Black Solid Round Neck T-shirt,4.338798,366,True,0,,180,Roadster,http://assets.myntassets.com/assets/images/2439138/2019/4/2/500546d5-bf6f-4556-9056-c853cd8aaf5f1554207933635-Roadster-Women-Black-Solid-Round-Neck-T-shirt-77815542079319-1.jpg,0,0,15491103,4118,0,,[],"[{'skuId': 15491103, 'label': 'S', 'inventory': 245, 'available': True}, {'skuId': 15491104, 'label': 'M', 'inventory': 206, 'available': True}, {'skuId': 15491105, 'label': 'L', 'inventory': 265, 'available': True}, {'skuId': 15491106, 'label': 'XL', 'inventory': 175, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/2439138/2019/4/2/500546d5-bf6f-4556-9056-c853cd8aaf5f1554207933635-Roadster-Women-Black-Solid-Round-Neck-T-shirt-77815542079319-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/2439138/2019/4/2/500546d5-bf6f-4556-9056-c853cd8aaf5f1554207933635-Roadster-Women-Black-Solid-Round-Neck-T-shirt-77815542079319-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/2439138/2019/4/2/0120cb71-d767-49a6-a149-2a75cbf7ee901554207933561-Roadster-Women-Black-Solid-Round-Neck-T-shirt-77815542079319-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/2439138/2019/4/2/39e49586-7483-4bff-bd5d-8a7b0f9fb83c1554207933601-Roadster-Women-Black-Solid-Round-Neck-T-shirt-77815542079319-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/2439138/2019/4/2/cbb2e6a8-d680-475a-b22c-5f907ab68bcd1554207933615-Roadster-Women-Black-Solid-Round-Neck-T-shirt-77815542079319-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/2439138/2019/4/2/e03d4109-3105-43e0-8de8-1000ab6288161554207933578-Roadster-Women-Black-Solid-Round-Neck-T-shirt-77815542079319-4.jpg'}]",Women,Black,Flat_Search_Percent,(45% OFF),Solid Round Neck T-shirt,Tshirts,399,219,,False,,0,1,,1526515200000,Summer,2019,False,,,0,,[],www.myntra.com/Tshirts/Roadster/Roadster-Women-Black-Solid-Round-Neck-T-shirt/2439138/buy
7,Tops/Style-Quotient/Style-Quotient-Women-Maroon-Lace-Top-with-Bell-Sleeves/6543994/buy,False,,False,6543994,Style Quotient Women Maroon Lace Top with Bell Sleeves,Style Quotient Women Maroon Lace Top with Bell Sleeves,4.1509676,775,True,0,,975,Style Quotient,http://assets.myntassets.com/assets/images/6543994/2018/6/14/88f12dec-cb1c-4728-9da2-cba4ac0fd4091528970770917-Style-Quotient-Women-Maroon-Solid-Top-4121528970770715-1.jpg,0,0,30011932,336,0,,[],"[{'skuId': 30011932, 'label': 'S', 'inventory': 2872, 'available': True}, {'skuId': 30011931, 'label': 'M', 'inventory': 2490, 'available': True}, {'skuId': 30011930, 'label': 'L', 'inventory': 4728, 'available': True}, {'skuId': 30011933, 'label': 'XL', 'inventory': 2995, 'available': True}, {'skuId': 33288142, 'label': 'XXL', 'inventory': 1089, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/6543994/2018/6/14/88f12dec-cb1c-4728-9da2-cba4ac0fd4091528970770917-Style-Quotient-Women-Maroon-Solid-Top-4121528970770715-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/6543994/2018/6/14/88f12dec-cb1c-4728-9da2-cba4ac0fd4091528970770917-Style-Quotient-Women-Maroon-Solid-Top-4121528970770715-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/6543994/2018/6/14/b8a26895-a024-4577-932d-120b2689ad3c1528970770807-Style-Quotient-Women-Maroon-Solid-Top-4121528970770715-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/6543994/2018/6/14/7e534a1e-466a-4451-a31e-00a4029ae6901528970770863-Style-Quotient-Women-Maroon-Solid-Top-4121528970770715-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/6543994/2018/6/14/13df2d55-8d21-408f-bf1e-32e06545643f1528970770834-Style-Quotient-Women-Maroon-Solid-Top-4121528970770715-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/6543994/2018/6/14/be7f940a-fbc5-41ff-844f-5f7100fa784a1528970770891-Style-Quotient-Women-Maroon-Solid-Top-4121528970770715-2.jpg'}]",Women,Maroon,Flat_Search_Percent,(65% OFF),Lace Top with Bell Sleeves,Tops,1499,524,,True,,0,1,,1528934400000,Summer,2018,False,,,0,,[],www.myntra.com/Tops/Style-Quotient/Style-Quotient-Women-Maroon-Lace-Top-with-Bell-Sleeves/6543994/buy
8,Tops/STREET-9/STREET-9-Women-Red-Printed-Cinched-Waist-Top/2687696/buy,False,,False,2687696,STREET 9 Women Red Printed Cinched Waist Top,STREET 9 Women Red Printed Cinched Waist Top,4.1435184,216,True,0,,715,STREET 9,http://assets.myntassets.com/assets/images/2687696/2018/3/5/11520244773767-na-8411520244773560-1.jpg,0,0,16458003,6440,0,,[],"[{'skuId': 16457989, 'label': 'S', 'inventory': 82, 'available': True}, {'skuId': 16458003, 'label': 'M', 'inventory': 153, 'available': True}, {'skuId': 16457986, 'label': 'L', 'inventory': 20, 'available': True}, {'skuId': 16457941, 'label': 'XL', 'inventory': 60, 'available': True}, {'skuId': 16457987, 'label': 'XXL', 'inventory': 38, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/2687696/2018/3/5/11520244773767-na-8411520244773560-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/2687696/2018/3/5/11520244773767-na-8411520244773560-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/2687696/2018/3/5/11520244773653-na-8411520244773560-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/2687696/2018/3/5/11520244773712-na-8411520244773560-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/2687696/2018/3/5/11520244773680-na-8411520244773560-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/2687696/2018/3/5/11520244773746-na-8411520244773560-2.jpg'}]",Women,Red,Flat_Search_Percent,(55% OFF),Printed Cinched Waist Top,Tops,1299,584,,False,,0,1,,1519862400000,Summer,2018,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Tops/STREET-9/STREET-9-Women-Red-Printed-Cinched-Waist-Top/2687696/buy
9,Tops/Harpa/Harpa-Women-Dusty-Pink-Solid-Shirt-Style-Top/8485301/buy,False,,False,8485301,Harpa Women Dusty Pink Solid Shirt Style Top,Harpa Women Dusty Pink Solid Shirt Style Top,4.1475925,1267,True,0,,600,Harpa,http://assets.myntassets.com/assets/images/8485301/2019/1/31/94178890-ec15-46be-902d-a1c37dc672e21548924608267-Harpa-Women-Tops-2381548924606648-1.jpg,0,0,33058027,609,0,,[],"[{'skuId': 33058026, 'label': 'S', 'inventory': 82, 'available': True}, {'skuId': 33058027, 'label': 'M', 'inventory': 103, 'available': True}, {'skuId': 33058029, 'label': 'L', 'inventory': 114, 'available': True}, {'skuId': 33058030, 'label': 'XL', 'inventory': 132, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/8485301/2019/1/31/94178890-ec15-46be-902d-a1c37dc672e21548924608267-Harpa-Women-Tops-2381548924606648-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/8485301/2019/1/31/94178890-ec15-46be-902d-a1c37dc672e21548924608267-Harpa-Women-Tops-2381548924606648-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/8485301/2019/1/31/5f4b4bcd-1a59-4b96-8ad2-c780b83739481548924608198-Harpa-Women-Tops-2381548924606648-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/8485301/2019/1/31/d1381795-5b51-436d-8cb4-42a318b66d251548924608226-Harpa-Women-Tops-2381548924606648-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/8485301/2019/1/31/11a4e7cd-415a-4f01-949b-a9e214374a011548924608210-Harpa-Women-Tops-2381548924606648-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/8485301/2019/1/31/593716e5-c4d1-442d-a3c1-d63f57e3ce441548924608248-Harpa-Women-Tops-2381548924606648-2.jpg'}]",Women,Pink,Flat_Search_Percent,(50% OFF),Women Solid Shirt Style Top,Tops,1199,599,,False,,0,1,,1548892800000,Summer,2019,False,,,0,,[],www.myntra.com/Tops/Harpa/Harpa-Women-Dusty-Pink-Solid-Shirt-Style-Top/8485301/buy
