,code,couponStatus,fnlColorVariantData,images,fnlProductData,discountPercent,price,wasPriceData,name,volumePricesFlag,url,productSizeData,PAGE_URL_COMPLETE
0,441052287001,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h38/h33/15234642182174/-286Wx359H-441052287-peach-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441052287_peach', 'sizeFlag': False}","[{'altText': 'DNMX Pink Crew Graphic Print Round-Neck T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hc1/h09/15234642575390/dnmx_pink_crew_graphic_print_round-neck_t-shirt.jpg'}, {'altText': 'DNMX Pink Crew Graphic Print Round-Neck T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h88/h6e/15234645524510/dnmx_pink_crew_graphic_print_round-neck_t-shirt.jpg'}, {'altText': 'DNMX Pink Crew Graphic Print Round-Neck T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h38/h33/15234642182174/dnmx_pink_crew_graphic_print_round-neck_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",30% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 209.00', 'displayformattedValue': 'Rs. 209', 'value': 209}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 299.00', 'displayformattedValue': 'Rs. 299', 'value': 299}",Graphic Print Round-Neck T-shirt,False,/dnmx-graphic-print-round-neck-t-shirt/p/441052287_peach,"{'sizeVariants': ['XS', 'S', 'M', 'L']}",www.ajio.com/dnmx-graphic-print-round-neck-t-shirt/p/441052287_peach
1,441052300003,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hf3/h8e/15235228925982/-286Wx359H-441052300-pink-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441052300_pink', 'sizeFlag': False}","[{'altText': 'DNMX Pink Crew Typographic Print Crew-Neck T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ha8/hb4/15235229515806/dnmx_pink_crew_typographic_print_crew-neck_t-shirt.jpg'}, {'altText': 'DNMX Pink Crew Typographic Print Crew-Neck T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hb7/hd7/15235236986910/dnmx_pink_crew_typographic_print_crew-neck_t-shirt.jpg'}, {'altText': 'DNMX Pink Crew Typographic Print Crew-Neck T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hf3/h8e/15235228925982/dnmx_pink_crew_typographic_print_crew-neck_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",20% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 239.00', 'displayformattedValue': 'Rs. 239', 'value': 239}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 299.00', 'displayformattedValue': 'Rs. 299', 'value': 299}",Typographic Print Crew-Neck T-shirt,False,/dnmx-typographic-print-crew-neck-t-shirt/p/441052300_pink,"{'sizeVariants': ['XS', 'M', 'L']}",www.ajio.com/dnmx-typographic-print-crew-neck-t-shirt/p/441052300_pink
2,460545936005,Coupon Applicable,"{'brandName': 'LEVIS', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h81/h10/15773178265630/-286Wx359H-460545936-pink-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460545936_pink', 'sizeFlag': False}","[{'altText': 'LEVIS Pink Crew Crew-Neck T-shirt with Branding', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hf3/h54/15773178462238/levis_pink_crew_crew-neck_t-shirt_with_branding.jpg'}, {'altText': 'LEVIS Pink Crew Crew-Neck T-shirt with Branding', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h9a/h9d/15773182165022/levis_pink_crew_crew-neck_t-shirt_with_branding.jpg'}, {'altText': 'LEVIS Pink Crew Crew-Neck T-shirt with Branding', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h81/h10/15773178265630/levis_pink_crew_crew-neck_t-shirt_with_branding.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",40% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 599.00', 'displayformattedValue': 'Rs. 599', 'value': 599}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 999.00', 'displayformattedValue': 'Rs. 999', 'value': 999}",Crew-Neck T-shirt with Branding,False,/levis-crew-neck-t-shirt-with-branding/p/460545936_pink,"{'sizeVariants': ['XS', 'L']}",www.ajio.com/levis-crew-neck-t-shirt-with-branding/p/460545936_pink
3,441052717003,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h7b/hb9/15204167221278/-286Wx359H-441052717-pink-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441052717_pink', 'sizeFlag': False}","[{'altText': 'DNMX Pink Crew Graphic Print Crew-Neck T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hec/hf0/15204167811102/dnmx_pink_crew_graphic_print_crew-neck_t-shirt.jpg'}, {'altText': 'DNMX Pink Crew Graphic Print Crew-Neck T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h35/h70/15204175675422/dnmx_pink_crew_graphic_print_crew-neck_t-shirt.jpg'}, {'altText': 'DNMX Pink Crew Graphic Print Crew-Neck T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h7b/hb9/15204167221278/dnmx_pink_crew_graphic_print_crew-neck_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",20% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 239.00', 'displayformattedValue': 'Rs. 239', 'value': 239}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 299.00', 'displayformattedValue': 'Rs. 299', 'value': 299}",Graphic Print Crew-Neck T-shirt,False,/dnmx-graphic-print-crew-neck-t-shirt/p/441052717_pink,"{'sizeVariants': ['XS', 'S', 'M', 'XL']}",www.ajio.com/dnmx-graphic-print-crew-neck-t-shirt/p/441052717_pink
4,441052289001,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h24/h69/15234509635614/-286Wx359H-441052289-yellow-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441052289_yellow', 'sizeFlag': False}","[{'altText': 'DNMX Yellow Crew Graphic Print Crew-Neck T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hbb/had/15234510028830/dnmx_yellow_crew_graphic_print_crew-neck_t-shirt.jpg'}, {'altText': 'DNMX Yellow Crew Graphic Print Crew-Neck T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h4c/ha3/15234513829918/dnmx_yellow_crew_graphic_print_crew-neck_t-shirt.jpg'}, {'altText': 'DNMX Yellow Crew Graphic Print Crew-Neck T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h24/h69/15234509635614/dnmx_yellow_crew_graphic_print_crew-neck_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",40% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 179.00', 'displayformattedValue': 'Rs. 179', 'value': 179}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 299.00', 'displayformattedValue': 'Rs. 299', 'value': 299}",Graphic Print Crew-Neck T-shirt,False,/dnmx-graphic-print-crew-neck-t-shirt/p/441052289_yellow,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL']}",www.ajio.com/dnmx-graphic-print-crew-neck-t-shirt/p/441052289_yellow
5,441055188005,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hf4/h1f/15130637041694/-286Wx359H-441055188-blue-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441055188_blue', 'sizeFlag': False}","[{'altText': 'DNMX Blue Crew Crew-Neck T-shirt with Metallic Print', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h59/h0d/15130637762590/dnmx_blue_crew_crew-neck_t-shirt_with_metallic_print.jpg'}, {'altText': 'DNMX Blue Crew Crew-Neck T-shirt with Metallic Print', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hd0/hee/15130645266462/dnmx_blue_crew_crew-neck_t-shirt_with_metallic_print.jpg'}, {'altText': 'DNMX Blue Crew Crew-Neck T-shirt with Metallic Print', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hf4/h1f/15130637041694/dnmx_blue_crew_crew-neck_t-shirt_with_metallic_print.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",20% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 239.00', 'displayformattedValue': 'Rs. 239', 'value': 239}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 299.00', 'displayformattedValue': 'Rs. 299', 'value': 299}",Crew-Neck T-shirt with Metallic Print,False,/dnmx-crew-neck-t-shirt-with-metallic-print/p/441055188_blue,"{'sizeVariants': ['XS', 'M', 'L', 'XL']}",www.ajio.com/dnmx-crew-neck-t-shirt-with-metallic-print/p/441055188_blue
6,441050786004,Coupon Applicable,"{'brandName': 'Teamspirit', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h52/hb1/15353651003422/-286Wx359H-441050786-pink-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441050786_pink', 'sizeFlag': False}","[{'altText': 'Teamspirit Pink & Blue Crew Striped Round-Neck T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hb0/h17/15353651462174/teamspirit_pink_&_blue_crew_striped_round-neck_t-shirt.jpg'}, {'altText': 'Teamspirit Pink & Blue Crew Striped Round-Neck T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hb6/h0f/15353654345758/teamspirit_pink_&_blue_crew_striped_round-neck_t-shirt.jpg'}, {'altText': 'Teamspirit Pink & Blue Crew Striped Round-Neck T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h52/hb1/15353651003422/teamspirit_pink_&_blue_crew_striped_round-neck_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",15% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 339.00', 'displayformattedValue': 'Rs. 339', 'value': 339}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 399.00', 'displayformattedValue': 'Rs. 399', 'value': 399}",Striped Round-Neck T-shirt,False,/teamspirit-striped-round-neck-t-shirt/p/441050786_pink,"{'sizeVariants': ['XS', 'M', 'L', 'XXL']}",www.ajio.com/teamspirit-striped-round-neck-t-shirt/p/441050786_pink
7,441052302004,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hcb/h02/15234417393694/-286Wx359H-441052302-black-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441052302_black', 'sizeFlag': False}","[{'altText': 'DNMX Black Crew Typographic Print Crew-Neck T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h2b/ha5/15234417917982/dnmx_black_crew_typographic_print_crew-neck_t-shirt.jpg'}, {'altText': 'DNMX Black Crew Typographic Print Crew-Neck T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hc4/h30/15234424209438/dnmx_black_crew_typographic_print_crew-neck_t-shirt.jpg'}, {'altText': 'DNMX Black Crew Typographic Print Crew-Neck T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hcb/h02/15234417393694/dnmx_black_crew_typographic_print_crew-neck_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",20% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 239.00', 'displayformattedValue': 'Rs. 239', 'value': 239}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 299.00', 'displayformattedValue': 'Rs. 299', 'value': 299}",Typographic Print Crew-Neck T-shirt,False,/dnmx-typographic-print-crew-neck-t-shirt/p/441052302_black,"{'sizeVariants': ['XS', 'S', 'L', 'XL']}",www.ajio.com/dnmx-typographic-print-crew-neck-t-shirt/p/441052302_black
8,441030866018,Coupon Applicable,"{'brandName': 'FIG', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h3e/hac/14536647180318/-286Wx359H-441030866-mint-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441030866_mint', 'sizeFlag': False}","[{'altText': 'FIG Mint Green Crew Floral Print Crew-Neck T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hd1/h09/14536647507998/fig_mint_green_crew_floral_print_crew-neck_t-shirt.jpg'}, {'altText': 'FIG Mint Green Crew Floral Print Crew-Neck T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hc5/he3/14536654323742/fig_mint_green_crew_floral_print_crew-neck_t-shirt.jpg'}, {'altText': 'FIG Mint Green Crew Floral Print Crew-Neck T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h3e/hac/14536647180318/fig_mint_green_crew_floral_print_crew-neck_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",40% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 239.00', 'displayformattedValue': 'Rs. 239', 'value': 239}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 399.00', 'displayformattedValue': 'Rs. 399', 'value': 399}",Floral Print Crew-Neck T-shirt,False,/fig-floral-print-crew-neck-t-shirt/p/441030866_mint,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL', 'XXL']}",www.ajio.com/fig-floral-print-crew-neck-t-shirt/p/441030866_mint
9,441052283002,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hd3/hdf/15234701099038/-286Wx359H-441052283-black-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441052283_black', 'sizeFlag': False}","[{'altText': 'DNMX Black Crew Printed Crew-Neck T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hf8/h8a/15234701590558/dnmx_black_crew_printed_crew-neck_t-shirt.jpg'}, {'altText': 'DNMX Black Crew Printed Crew-Neck T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h64/he5/15234709028894/dnmx_black_crew_printed_crew-neck_t-shirt.jpg'}, {'altText': 'DNMX Black Crew Printed Crew-Neck T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hd3/hdf/15234701099038/dnmx_black_crew_printed_crew-neck_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",20% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 239.00', 'displayformattedValue': 'Rs. 239', 'value': 239}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 299.00', 'displayformattedValue': 'Rs. 299', 'value': 299}",Printed Crew-Neck T-shirt,False,/dnmx-printed-crew-neck-t-shirt/p/441052283_black,"{'sizeVariants': ['XS', 'S', 'M']}",www.ajio.com/dnmx-printed-crew-neck-t-shirt/p/441052283_black
10,441052303004,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hae/he1/15203931029534/-286Wx359H-441052303-mustard-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441052303_mustard', 'sizeFlag': False}","[{'altText': 'DNMX Mustard Yellow Crew Typographic Print Crew-Neck T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/he5/h9c/15203931619358/dnmx_mustard_yellow_crew_typographic_print_crew-neck_t-shirt.jpg'}, {'altText': 'DNMX Mustard Yellow Crew Typographic Print Crew-Neck T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h83/h7f/15203937812510/dnmx_mustard_yellow_crew_typographic_print_crew-neck_t-shirt.jpg'}, {'altText': 'DNMX Mustard Yellow Crew Typographic Print Crew-Neck T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hae/he1/15203931029534/dnmx_mustard_yellow_crew_typographic_print_crew-neck_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",20% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 239.00', 'displayformattedValue': 'Rs. 239', 'value': 239}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 299.00', 'displayformattedValue': 'Rs. 299', 'value': 299}",Typographic Print Crew-Neck T-shirt,False,/dnmx-typographic-print-crew-neck-t-shirt/p/441052303_mustard,"{'sizeVariants': ['XS', 'S', 'M', 'L']}",www.ajio.com/dnmx-typographic-print-crew-neck-t-shirt/p/441052303_mustard
11,441037214001,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hf0/hb2/15085927333918/-286Wx359H-441037214-white-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441037214_white', 'sizeFlag': False}","[{'altText': 'DNMX White Crew Graphic Print Crew-Neck T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h9e/h99/15085927989278/dnmx_white_crew_graphic_print_crew-neck_t-shirt.jpg'}, {'altText': 'DNMX White Crew Graphic Print Crew-Neck T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h4f/h4c/15085934542878/dnmx_white_crew_graphic_print_crew-neck_t-shirt.jpg'}, {'altText': 'DNMX White Crew Graphic Print Crew-Neck T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hf0/hb2/15085927333918/dnmx_white_crew_graphic_print_crew-neck_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",50% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 150.00', 'displayformattedValue': 'Rs. 150', 'value': 150}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 299.00', 'displayformattedValue': 'Rs. 299', 'value': 299}",Graphic Print Crew-Neck T-shirt,False,/dnmx-graphic-print-crew-neck-t-shirt/p/441037214_white,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL']}",www.ajio.com/dnmx-graphic-print-crew-neck-t-shirt/p/441037214_white
12,441036299011,Coupon Applicable,"{'brandName': 'RIO', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h22/hed/15202706489374/-286Wx359H-441036299-black-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441036299_black', 'sizeFlag': False}","[{'altText': 'RIO Black Crew Floral Print Crew-Neck T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hd2/hd9/15202707013662/rio_black_crew_floral_print_crew-neck_t-shirt.jpg'}, {'altText': 'RIO Black Crew Floral Print Crew-Neck T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h92/h93/15202713174046/rio_black_crew_floral_print_crew-neck_t-shirt.jpg'}, {'altText': 'RIO Black Crew Floral Print Crew-Neck T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h22/hed/15202706489374/rio_black_crew_floral_print_crew-neck_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",15% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 339.00', 'displayformattedValue': 'Rs. 339', 'value': 339}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 399.00', 'displayformattedValue': 'Rs. 399', 'value': 399}",Floral Print Crew-Neck T-shirt,False,/rio-floral-print-crew-neck-t-shirt/p/441036299_black,"{'sizeVariants': ['XS', 'S', 'XL']}",www.ajio.com/rio-floral-print-crew-neck-t-shirt/p/441036299_black
13,441036305023,Coupon Applicable,"{'brandName': 'FIG', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h49/h35/15102720835614/-286Wx359H-441036305-red-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441036305_red', 'sizeFlag': False}","[{'altText': 'FIG Red Crew Crew-Neck T-shirt with Lace Panels', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hdb/h27/15102721261598/fig_red_crew_crew-neck_t-shirt_with_lace_panels.jpg'}, {'altText': 'FIG Red Crew Crew-Neck T-shirt with Lace Panels', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h07/hd7/15102727028766/fig_red_crew_crew-neck_t-shirt_with_lace_panels.jpg'}, {'altText': 'FIG Red Crew Crew-Neck T-shirt with Lace Panels', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h49/h35/15102720835614/fig_red_crew_crew-neck_t-shirt_with_lace_panels.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",30% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 279.00', 'displayformattedValue': 'Rs. 279', 'value': 279}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 399.00', 'displayformattedValue': 'Rs. 399', 'value': 399}",Crew-Neck T-shirt with Lace Panels,False,/fig-crew-neck-t-shirt-with-lace-panels/p/441036305_red,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL', 'XXL']}",www.ajio.com/fig-crew-neck-t-shirt-with-lace-panels/p/441036305_red
14,441037203004,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h21/heb/15226271924254/-286Wx359H-441037203-ecrumelange-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441037203_ecrumelange', 'sizeFlag': False}","[{'altText': 'DNMX Off-White Crew Graphic Print Crew-Neck T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hc1/h7d/15226272514078/dnmx_off-white_crew_graphic_print_crew-neck_t-shirt.jpg'}, {'altText': 'DNMX Off-White Crew Graphic Print Crew-Neck T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hfe/h75/15226279264286/dnmx_off-white_crew_graphic_print_crew-neck_t-shirt.jpg'}, {'altText': 'DNMX Off-White Crew Graphic Print Crew-Neck T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h21/heb/15226271924254/dnmx_off-white_crew_graphic_print_crew-neck_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",30% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 209.00', 'displayformattedValue': 'Rs. 209', 'value': 209}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 299.00', 'displayformattedValue': 'Rs. 299', 'value': 299}",Graphic Print Crew-Neck T-shirt,False,/dnmx-graphic-print-crew-neck-t-shirt/p/441037203_ecrumelange,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL']}",www.ajio.com/dnmx-graphic-print-crew-neck-t-shirt/p/441037203_ecrumelange
