,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Dresses/UF/UF-Maroon--Olive-Green-Floral-Print-Maxi-Shirt-Dress/11099538/buy,False,,False,11099538,U&F Maroon & Olive Green Floral Print Maxi Shirt Dress,U&F Maroon & Olive Green Floral Print Maxi Shirt Dress,3.7041886,1528,True,0,,0,U&F,http://assets.myntassets.com/assets/images/11099538/2019/12/16/de5a1e02-d817-40f3-8db9-695befc46c2f1576473716354-UF-Women-Maroon-Printed-Maxi-Dress-7821576473714711-1.jpg,0,0,38297032,1770,0,,[],"[{'skuId': 38297032, 'label': 'S', 'inventory': 514, 'available': True}, {'skuId': 38297034, 'label': 'M', 'inventory': 372, 'available': True}, {'skuId': 38297036, 'label': 'L', 'inventory': 512, 'available': True}, {'skuId': 38297038, 'label': 'XL', 'inventory': 600, 'available': True}, {'skuId': 38297040, 'label': 'XXL', 'inventory': 685, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11099538/2019/12/16/de5a1e02-d817-40f3-8db9-695befc46c2f1576473716354-UF-Women-Maroon-Printed-Maxi-Dress-7821576473714711-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11099538/2019/12/16/de5a1e02-d817-40f3-8db9-695befc46c2f1576473716354-UF-Women-Maroon-Printed-Maxi-Dress-7821576473714711-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11099538/2019/12/16/c3f17e8e-41aa-48f3-b322-2d9a7191d28a1576473716099-UF-Women-Maroon-Printed-Maxi-Dress-7821576473714711-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11099538/2019/12/16/df54d826-b7d0-4d32-846b-63880bf6fa841576473716244-UF-Women-Maroon-Printed-Maxi-Dress-7821576473714711-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11099538/2019/12/16/505a0195-5c40-4a28-a523-9ef3dc6aab301576473716177-UF-Women-Maroon-Printed-Maxi-Dress-7821576473714711-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11099538/2020/1/9/0adcba46-82a6-4356-ab19-57a7043360d41578568891032-UF-Women-Maroon--Olive-Green-Printed-Maxi-Dress-731578568890-2.jpg'}]",Women,Maroon,,,Floral Print Maxi Shirt Dress,Dresses,1699,1699,,False,,0,,,1576108800000,Summer,2020,False,,,0,,[],www.myntra.com/Dresses/UF/UF-Maroon--Olive-Green-Floral-Print-Maxi-Shirt-Dress/11099538/buy
1,Dresses/Tokyo-Talkies/Tokyo-Talkies-Black-Floral-Print-Flared-Maxi-Dress-with-a-Belt/2299060/buy,False,,False,2299060,Tokyo Talkies Black Floral Print Flared Maxi Dress with a Belt,Tokyo Talkies Black Floral Print Flared Maxi Dress with a Belt,4.24379,1087,True,0,,0,Tokyo Talkies,http://assets.myntassets.com/assets/images/2299060/2018/7/30/7584b116-2a2c-4fb1-881c-af58cc484b181532944603854-Tokyo-Talkies-Women-Black-Printed-Maxi-Dress-4791532944603727-1.jpg,0,0,14912831,4215,0,,[],"[{'skuId': 14912831, 'label': 'S', 'inventory': 681, 'available': True}, {'skuId': 14912830, 'label': 'M', 'inventory': 1026, 'available': True}, {'skuId': 14912829, 'label': 'L', 'inventory': 475, 'available': True}, {'skuId': 14912828, 'label': 'XL', 'inventory': 283, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/2299060/2018/7/30/7584b116-2a2c-4fb1-881c-af58cc484b181532944603854-Tokyo-Talkies-Women-Black-Printed-Maxi-Dress-4791532944603727-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/2299060/2018/7/30/7584b116-2a2c-4fb1-881c-af58cc484b181532944603854-Tokyo-Talkies-Women-Black-Printed-Maxi-Dress-4791532944603727-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/2299060/2018/7/30/a51c9cef-69c3-4528-b16c-0107e2a0b7751532944603877-Tokyo-Talkies-Women-Black-Printed-Maxi-Dress-4791532944603727-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/2299060/2018/7/30/5c87edf2-dbd3-4569-b0c7-45bc98573a1b1532944603811-Tokyo-Talkies-Women-Black-Printed-Maxi-Dress-4791532944603727-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/2299060/2018/7/30/7b9cd323-82d4-41cd-b239-5063e7de14651532944603830-Tokyo-Talkies-Women-Black-Printed-Maxi-Dress-4791532944603727-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/2299060/2018/7/30/0fc1e1b2-e2c7-4abd-a7e8-2aae131c30bb1532944603794-Tokyo-Talkies-Women-Black-Printed-Maxi-Dress-4791532944603727-4.jpg'}]",Women,Black,,,Floral Flared Belted Dress,Dresses,2249,2249,,False,,0,,,1512000000000,Winter,2017,False,,,0,,[],www.myntra.com/Dresses/Tokyo-Talkies/Tokyo-Talkies-Black-Floral-Print-Flared-Maxi-Dress-with-a-Belt/2299060/buy
2,Dresses/SASSAFRAS/SASSAFRAS-Sea-Wash-Peterpan-Collar-Pleated-Dress/10308617/buy,False,,False,10308617,SASSAFRAS Sea Wash Peterpan Collar Pleated Dress,SASSAFRAS Sea Wash Peterpan Collar Pleated Dress,4.3506875,1018,True,0,,0,SASSAFRAS,http://assets.myntassets.com/assets/images/10308617/2019/7/29/bd8f2ff9-186b-4983-b9b6-88654f2d13661564380201384-SASSAFRAS-Women-Blue-A-Line-Dress-9861564380199640-1.jpg,0,0,35180525,4028,0,,[],"[{'skuId': 35180525, 'label': 'XS', 'inventory': 0, 'available': False}, {'skuId': 35180527, 'label': 'S', 'inventory': 45, 'available': True}, {'skuId': 35180533, 'label': 'M', 'inventory': 8, 'available': True}, {'skuId': 35180537, 'label': 'L', 'inventory': 180, 'available': True}, {'skuId': 35180543, 'label': 'XL', 'inventory': 24, 'available': True}, {'skuId': 35180551, 'label': 'XXL', 'inventory': 100, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/10308617/2019/7/29/bd8f2ff9-186b-4983-b9b6-88654f2d13661564380201384-SASSAFRAS-Women-Blue-A-Line-Dress-9861564380199640-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/10308617/2019/7/29/bd8f2ff9-186b-4983-b9b6-88654f2d13661564380201384-SASSAFRAS-Women-Blue-A-Line-Dress-9861564380199640-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/10308617/2019/7/29/11dd969e-e446-4d94-b654-e62aeff9fa961564380201283-SASSAFRAS-Women-Blue-A-Line-Dress-9861564380199640-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/10308617/2019/7/29/0c3c72ba-b233-4c93-a9df-aacd58418e691564380201337-SASSAFRAS-Women-Blue-A-Line-Dress-9861564380199640-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/10308617/2019/7/29/ecfd0462-74a3-4dde-9448-d294508067371564380201310-SASSAFRAS-Women-Blue-A-Line-Dress-9861564380199640-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/10308617/2019/7/29/79b44638-5cca-44b1-b858-91cf369310e11564380201363-SASSAFRAS-Women-Blue-A-Line-Dress-9861564380199640-2.jpg'}]",Women,Blue,,,Sea Wash Pleated Midi Dress,Dresses,1999,1999,,False,,0,,,1564012800000,Fall,2019,False,,,0,,[],www.myntra.com/Dresses/SASSAFRAS/SASSAFRAS-Sea-Wash-Peterpan-Collar-Pleated-Dress/10308617/buy
3,Dresses/Tokyo-Talkies/Tokyo-Talkies-Navy-Polka-Dot-Belted-Shirt-Dress/2242503/buy,False,,False,2242503,Tokyo Talkies Navy Polka Dot Belted Shirt Dress,Tokyo Talkies Navy Polka Dot Belted Shirt Dress,4.2940407,1527,True,0,,0,Tokyo Talkies,http://assets.myntassets.com/assets/images/2242503/2018/7/30/00fa54ff-cc59-4d9e-b618-34766946f2c81532942294504-Tokyo-Talkies-Women-Navy-Printed-Shirt-Dress-5291532942294350-1.jpg,0,0,14688261,4215,0,,[],"[{'skuId': 14688261, 'label': 'S', 'inventory': 11, 'available': True}, {'skuId': 14688262, 'label': 'M', 'inventory': 146, 'available': True}, {'skuId': 14688263, 'label': 'L', 'inventory': 859, 'available': True}, {'skuId': 14688265, 'label': 'XL', 'inventory': 723, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/2242503/2018/7/30/00fa54ff-cc59-4d9e-b618-34766946f2c81532942294504-Tokyo-Talkies-Women-Navy-Printed-Shirt-Dress-5291532942294350-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/2242503/2018/7/30/00fa54ff-cc59-4d9e-b618-34766946f2c81532942294504-Tokyo-Talkies-Women-Navy-Printed-Shirt-Dress-5291532942294350-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/2242503/2018/7/30/ed480232-3e5e-4f79-9a1a-1e247a6104061532942294527-Tokyo-Talkies-Women-Navy-Printed-Shirt-Dress-5291532942294350-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/2242503/2018/7/30/f457ad4d-f477-4d9c-98cb-95d63512386e1532942294447-Tokyo-Talkies-Women-Navy-Printed-Shirt-Dress-5291532942294350-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/2242503/2018/7/30/cebadc7f-02ee-42f0-aacc-5bed0b0dec231532942294426-Tokyo-Talkies-Women-Navy-Printed-Shirt-Dress-5291532942294350-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/2242503/2018/7/30/f3856977-0668-439c-84e8-0d3d8227affe1532942294473-Tokyo-Talkies-Women-Navy-Printed-Shirt-Dress-5291532942294350-2.jpg'}]",Women,Navy Blue,,,Polka Dot Belted Shirt Dress,Dresses,1849,1849,,False,,0,,,1510185600000,Winter,2017,False,,,0,,[],www.myntra.com/Dresses/Tokyo-Talkies/Tokyo-Talkies-Navy-Polka-Dot-Belted-Shirt-Dress/2242503/buy
4,Dresses/SASSAFRAS/SASSAFRAS-Women-Black-Solid-Accordion-Pleats-Empire-Dress/10308591/buy,False,,False,10308591,SASSAFRAS Women Black Solid Accordion Pleats Empire Dress,SASSAFRAS Women Black Solid Accordion Pleats Empire Dress,3.977661,761,True,0,,0,SASSAFRAS,http://assets.myntassets.com/assets/images/10308591/2019/7/29/1b9df8fd-214e-4e8c-a0b6-759a9167e1e61564379559418-SASSAFRAS-Women-Black-A-Line-Dress-291564379558115-1.jpg,0,0,35180373,4028,0,,[],"[{'skuId': 35180367, 'label': 'XS', 'inventory': 18, 'available': True}, {'skuId': 35180373, 'label': 'S', 'inventory': 14, 'available': True}, {'skuId': 35180377, 'label': 'M', 'inventory': 53, 'available': True}, {'skuId': 35180379, 'label': 'L', 'inventory': 192, 'available': True}, {'skuId': 35180381, 'label': 'XL', 'inventory': 1, 'available': True}, {'skuId': 35180385, 'label': 'XXL', 'inventory': 184, 'available': True}]","XS,S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/10308591/2019/7/29/1b9df8fd-214e-4e8c-a0b6-759a9167e1e61564379559418-SASSAFRAS-Women-Black-A-Line-Dress-291564379558115-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/10308591/2019/7/29/1b9df8fd-214e-4e8c-a0b6-759a9167e1e61564379559418-SASSAFRAS-Women-Black-A-Line-Dress-291564379558115-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/10308591/2019/7/29/11db07a0-a325-4fe7-9aa9-edf74134b6e11564379559336-SASSAFRAS-Women-Black-A-Line-Dress-291564379558115-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/10308591/2019/7/29/f81b128d-0ab8-459d-af09-be7132212c271564379559370-SASSAFRAS-Women-Black-A-Line-Dress-291564379558115-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/10308591/2019/7/29/1e07f096-6cdd-4e07-96ae-f8888f6f97191564379559351-SASSAFRAS-Women-Black-A-Line-Dress-291564379558115-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/10308591/2019/7/29/ca09b8fd-93e6-4aff-84bf-50d68fe5644c1564379559400-SASSAFRAS-Women-Black-A-Line-Dress-291564379558115-2.jpg'}]",Women,Black,,,Accordion Pleats Empire Dress,Dresses,1599,1599,,False,,0,,,1564012800000,Fall,2019,False,,,0,,[],www.myntra.com/Dresses/SASSAFRAS/SASSAFRAS-Women-Black-Solid-Accordion-Pleats-Empire-Dress/10308591/buy
5,Dresses/Athena/Athena-Women-Burgundy-Solid-Maxi-Dress/5559085/buy,False,,False,5559085,Athena Women Burgundy Solid Maxi Dress,Athena Women Burgundy Solid Maxi Dress,3.893617,517,True,0,,0,Athena,http://assets.myntassets.com/assets/images/5559085/2018/5/9/11525849854374-Athena-Women-Burgundy-Solid-Maxi-Dress-4291525849853320-1.jpg,0,0,26640649,960,0,,[],"[{'skuId': 26640646, 'label': 'XS', 'inventory': 408, 'available': True}, {'skuId': 26640647, 'label': 'S', 'inventory': 302, 'available': True}, {'skuId': 26640648, 'label': 'M', 'inventory': 255, 'available': True}, {'skuId': 26640649, 'label': 'L', 'inventory': 285, 'available': True}, {'skuId': 26640650, 'label': 'XL', 'inventory': 339, 'available': True}, {'skuId': 26640651, 'label': 'XXL', 'inventory': 392, 'available': True}]","XS,S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/5559085/2018/5/9/11525849854374-Athena-Women-Burgundy-Solid-Maxi-Dress-4291525849853320-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/5559085/2018/5/9/11525849854374-Athena-Women-Burgundy-Solid-Maxi-Dress-4291525849853320-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/5559085/2018/5/9/11525849853381-Athena-Women-Burgundy-Solid-Maxi-Dress-4291525849853320-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/5559085/2018/5/9/11525849853848-Athena-Women-Burgundy-Solid-Maxi-Dress-4291525849853320-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/5559085/2018/5/9/11525849854321-Athena-Women-Burgundy-Solid-Maxi-Dress-4291525849853320-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/5559085/2018/5/9/11525849853829-Athena-Women-Burgundy-Solid-Maxi-Dress-4291525849853320-4.jpg'}]",Women,Burgundy,,,Women Solid Maxi Dress,Dresses,2495,2495,,False,,0,,,1525305600000,Summer,2018,False,,,0,,[],www.myntra.com/Dresses/Athena/Athena-Women-Burgundy-Solid-Maxi-Dress/5559085/buy
6,Dresses/SASSAFRAS/SASSAFRAS-Women-Navy-Blue--Pink-Printed-Fit-and-Flare-Dress/7413632/buy,False,,False,7413632,SASSAFRAS Women Navy Blue & Pink Printed Fit and Flare Dress,SASSAFRAS Women Navy Blue & Pink Printed Fit and Flare Dress,3.9661016,354,True,0,,0,SASSAFRAS,http://assets.myntassets.com/assets/images/7413632/2018/9/21/0977813b-6e5f-474c-a545-df8e67e5f0ea1537530393736-SASSAFRAS-Women-Dresses-9851537530393557-1.jpg,0,0,31713224,4028,0,,[],"[{'skuId': 31713223, 'label': 'S', 'inventory': 135, 'available': True}, {'skuId': 31713224, 'label': 'M', 'inventory': 30, 'available': True}, {'skuId': 31713225, 'label': 'L', 'inventory': 141, 'available': True}, {'skuId': 31713227, 'label': 'XL', 'inventory': 162, 'available': True}, {'skuId': 31713228, 'label': 'XXL', 'inventory': 134, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/7413632/2018/9/21/0977813b-6e5f-474c-a545-df8e67e5f0ea1537530393736-SASSAFRAS-Women-Dresses-9851537530393557-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/7413632/2018/9/21/0977813b-6e5f-474c-a545-df8e67e5f0ea1537530393736-SASSAFRAS-Women-Dresses-9851537530393557-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/7413632/2018/9/21/bf14e02e-3152-4c44-97c6-34daca037d751537530393637-SASSAFRAS-Women-Dresses-9851537530393557-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/7413632/2018/9/21/7ea06df1-108a-4201-a92e-06bb8b569f6f1537530393689-SASSAFRAS-Women-Dresses-9851537530393557-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/7413632/2018/9/21/7495f515-7ea6-46a2-be1f-169f44e817641537530393665-SASSAFRAS-Women-Dresses-9851537530393557-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/7413632/2018/9/21/56db7cfa-27b0-48d7-abb7-b192e9633d7e1537530393710-SASSAFRAS-Women-Dresses-9851537530393557-2.jpg'}]",Women,Navy Blue,,,Women Fit & Flare Dress,Dresses,1599,1599,,False,,0,,,1537401600000,Fall,2018,False,,,0,,[],www.myntra.com/Dresses/SASSAFRAS/SASSAFRAS-Women-Navy-Blue--Pink-Printed-Fit-and-Flare-Dress/7413632/buy
7,Dresses/Athena/Athena-Women-Purple-A-Line-Dress/10050171/buy,False,,False,10050171,Athena Women Purple A-Line Dress,Athena Women Purple A-Line Dress,4.138801,317,True,0,,0,Athena,http://assets.myntassets.com/assets/images/productimage/2019/6/15/7b497f77-28c0-4779-bf0a-cdbc75c35db51560580766954-1.jpg,0,0,34740621,960,0,,[],"[{'skuId': 34740621, 'label': 'XS', 'inventory': 271, 'available': True}, {'skuId': 34740635, 'label': 'S', 'inventory': 243, 'available': True}, {'skuId': 34740639, 'label': 'M', 'inventory': 222, 'available': True}, {'skuId': 34740645, 'label': 'L', 'inventory': 252, 'available': True}, {'skuId': 34740647, 'label': 'XL', 'inventory': 280, 'available': True}, {'skuId': 34740651, 'label': 'XXL', 'inventory': 282, 'available': True}]","XS,S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/6/15/7b497f77-28c0-4779-bf0a-cdbc75c35db51560580766954-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/6/15/7b497f77-28c0-4779-bf0a-cdbc75c35db51560580766954-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/6/15/4d3dc9e4-976c-4af5-bf1c-1519d4d13d841560580767068-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/6/15/bb340a4f-17af-46a2-8c20-870ebff0e8f61560580767009-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/6/15/d003a4f9-c8de-47d7-b1a3-96288324d60a1560580767039-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/6/15/0e618d12-b49f-4498-becb-2053e0d0b1ba1560580766981-2.jpg'}]",Women,Purple,,,Women Solid A-Line Dress,Dresses,1295,1295,,False,,0,,,1560384000000,Summer,2019,False,,,0,,[],www.myntra.com/Dresses/Athena/Athena-Women-Purple-A-Line-Dress/10050171/buy
8,Dresses/SASSAFRAS/SASSAFRAS-Women-Black--Pink-Printed-Wrap-Dress/10856160/buy,False,,False,10856160,SASSAFRAS Women Black & Pink Printed Wrap Dress,SASSAFRAS Women Black & Pink Printed Wrap Dress,4.3632073,424,True,0,,0,SASSAFRAS,http://assets.myntassets.com/assets/images/10856160/2019/11/5/f0172470-408a-4b8b-a1e5-045bd98a5f8b1572938035104-SASSAFRAS-Women-Dresses-9581572938032856-1.jpg,0,0,37319928,4028,0,,[],"[{'skuId': 37319926, 'label': 'XS', 'inventory': 136, 'available': True}, {'skuId': 37319928, 'label': 'S', 'inventory': 322, 'available': True}, {'skuId': 37319930, 'label': 'M', 'inventory': 246, 'available': True}, {'skuId': 37319932, 'label': 'L', 'inventory': 217, 'available': True}, {'skuId': 37319934, 'label': 'XL', 'inventory': 214, 'available': True}, {'skuId': 37319936, 'label': 'XXL', 'inventory': 109, 'available': True}]","XS,S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/10856160/2019/11/5/f0172470-408a-4b8b-a1e5-045bd98a5f8b1572938035104-SASSAFRAS-Women-Dresses-9581572938032856-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/10856160/2019/11/5/f0172470-408a-4b8b-a1e5-045bd98a5f8b1572938035104-SASSAFRAS-Women-Dresses-9581572938032856-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/10856160/2019/11/5/aced81a0-f6d1-4219-85c6-3861564c7bf31572938034820-SASSAFRAS-Women-Dresses-9581572938032856-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/10856160/2019/11/5/df4c3d9b-12fb-4c9c-80bb-051b6d8e80c21572938034874-SASSAFRAS-Women-Dresses-9581572938032856-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/10856160/2019/11/5/b814b30f-1e1f-42c2-a2ca-52ac03be344a1572938034989-SASSAFRAS-Women-Dresses-9581572938032856-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/10856160/2019/11/5/a73ea78b-7e8b-4bce-840c-17417808d2c01572938035053-SASSAFRAS-Women-Dresses-9581572938032856-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/10856160/2019/11/5/dd8805df-b1fe-4dbc-bb4e-49599c379dec1572938034924-SASSAFRAS-Women-Dresses-9581572938032856-4.jpg'}]",Women,Black,,,Women Printed Wrap Dress,Dresses,2399,2399,,False,,0,,,1573084800000,Fall,2019,False,,,0,,[],www.myntra.com/Dresses/SASSAFRAS/SASSAFRAS-Women-Black--Pink-Printed-Wrap-Dress/10856160/buy
9,Dresses/SASSAFRAS/SASSAFRAS-Women-Dusty-Pink-Solid-Accordian-Pleat-A-Line-Dress/10308521/buy,False,,False,10308521,SASSAFRAS Women Dusty Pink Solid Accordian Pleat A-Line Dress,SASSAFRAS Women Dusty Pink Solid Accordian Pleat A-Line Dress,4.360215,744,True,0,,0,SASSAFRAS,http://assets.myntassets.com/assets/images/10308521/2019/7/29/752a04e2-1093-4243-9fcd-64c9346486bf1564401142308-SASSAFRAS-Women-Pink-Shirt-Dress-6811564401140400-1.jpg,0,0,35179967,4028,0,,[],"[{'skuId': 35179961, 'label': 'XS', 'inventory': 410, 'available': True}, {'skuId': 35179967, 'label': 'S', 'inventory': 596, 'available': True}, {'skuId': 35179973, 'label': 'M', 'inventory': 521, 'available': True}, {'skuId': 35179979, 'label': 'L', 'inventory': 163, 'available': True}, {'skuId': 35179985, 'label': 'XL', 'inventory': 136, 'available': True}, {'skuId': 35179991, 'label': 'XXL', 'inventory': 47, 'available': True}]","XS,S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/10308521/2019/7/29/752a04e2-1093-4243-9fcd-64c9346486bf1564401142308-SASSAFRAS-Women-Pink-Shirt-Dress-6811564401140400-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/10308521/2019/7/29/752a04e2-1093-4243-9fcd-64c9346486bf1564401142308-SASSAFRAS-Women-Pink-Shirt-Dress-6811564401140400-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/10308521/2019/7/29/9bdf4c47-5236-4a81-a213-8ad866d26c8f1564401142202-SASSAFRAS-Women-Pink-Shirt-Dress-6811564401140400-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/10308521/2019/7/29/f6b28f3c-88a1-4607-8c9b-8b11b2bfb3f81564401142256-SASSAFRAS-Women-Pink-Shirt-Dress-6811564401140400-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/10308521/2019/7/29/90d961fa-3ac6-4264-83cf-29d72841e3b41564401142235-SASSAFRAS-Women-Pink-Shirt-Dress-6811564401140400-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/10308521/2019/7/29/e01a2427-3ad4-4396-ab7a-7e87e41ee73e1564401142287-SASSAFRAS-Women-Pink-Shirt-Dress-6811564401140400-2.jpg'}]",Women,Pink,,,Accordian Pleat A-Line Dress,Dresses,1999,1999,,False,,0,,,1564012800000,Fall,2019,False,,,0,,[],www.myntra.com/Dresses/SASSAFRAS/SASSAFRAS-Women-Dusty-Pink-Solid-Accordian-Pleat-A-Line-Dress/10308521/buy
