,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Sarees/Mitera/Mitera-Magenta-Silk-Blend-Woven-Design-Banarasi-Saree/10430798/buy,False,,False,10430798,Mitera Magenta Silk Blend Woven Design Banarasi Saree,Mitera Magenta Silk Blend Woven Design Banarasi Saree,3.7793696,349,True,0,,3220,Mitera,http://assets.myntassets.com/assets/images/productimage/2019/8/11/35643372-9a6a-45b5-a18a-af056a97b6e51565465392383-1.jpg,0,0,35652114,2542,0,,[],"[{'skuId': 35652114, 'label': 'Onesize', 'inventory': 393, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/8/11/35643372-9a6a-45b5-a18a-af056a97b6e51565465392383-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/8/11/35643372-9a6a-45b5-a18a-af056a97b6e51565465392383-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/8/11/377767df-b98e-4326-9ac3-65a6443384451565465392479-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/8/11/bc06563a-c480-46aa-a8eb-49aaced6f5271565465392429-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/8/11/ce982a2e-2702-4da9-b382-6333a69591ba1565465392454-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/8/11/d70e99b6-2969-44aa-bd26-7636a69b82181565465392404-2.jpg'}]",Women,Magenta,Flat_Search_Percent,(70% OFF),Woven Design Banarasi Saree,Sarees,4599,1379,,False,,0,1,,1565222400000,Winter,2019,False,,,0,,[],www.myntra.com/Sarees/Mitera/Mitera-Magenta-Silk-Blend-Woven-Design-Banarasi-Saree/10430798/buy
1,Sarees/Mitera/Mitera-Navy-Blue-Silk-Blend-Solid-Banarasi-Saree/7715819/buy,False,,False,7715819,Mitera Navy Blue Silk Blend Solid Banarasi Saree,Mitera Navy Blue Silk Blend Solid Banarasi Saree,3.9490616,373,True,0,,2940,Mitera,http://assets.myntassets.com/assets/images/7715819/2018/10/30/73757f81-139d-4c17-81d1-6a4deb0ccd691540883613501-Mitera-Navy-Blue-Silk-Blend-Solid-Kanjeevaram-Saree-9911540883613298-1.jpg,0,0,32223281,2542,0,,[],"[{'skuId': 32223281, 'label': 'Onesize', 'inventory': 19093, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/7715819/2018/10/30/73757f81-139d-4c17-81d1-6a4deb0ccd691540883613501-Mitera-Navy-Blue-Silk-Blend-Solid-Kanjeevaram-Saree-9911540883613298-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/7715819/2018/10/30/73757f81-139d-4c17-81d1-6a4deb0ccd691540883613501-Mitera-Navy-Blue-Silk-Blend-Solid-Kanjeevaram-Saree-9911540883613298-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/7715819/2018/10/30/d089affb-5bfb-47a2-8e97-9993bee5eb751540883613378-Mitera-Navy-Blue-Silk-Blend-Solid-Kanjeevaram-Saree-9911540883613298-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/7715819/2018/10/30/3cb8d6d4-ec59-4a29-89cc-112665d1c59f1540883613427-Mitera-Navy-Blue-Silk-Blend-Solid-Kanjeevaram-Saree-9911540883613298-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/7715819/2018/10/30/018146ee-b5f5-464c-9031-4ef10d781ec01540883613401-Mitera-Navy-Blue-Silk-Blend-Solid-Kanjeevaram-Saree-9911540883613298-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/7715819/2018/10/30/51b40dca-4997-45e1-85ba-66f90f1db6a51540883613462-Mitera-Navy-Blue-Silk-Blend-Solid-Kanjeevaram-Saree-9911540883613298-2.jpg'}]",Women,Navy Blue,Flat_Search_Percent,(70% OFF),Solid Banarasi Saree,Sarees,4199,1259,,False,,0,1,,1540425600000,Spring,2018,False,,,0,,[],www.myntra.com/Sarees/Mitera/Mitera-Navy-Blue-Silk-Blend-Solid-Banarasi-Saree/7715819/buy
2,Sarees/Mitera/Mitera-Navy-Blue--Gold-Toned-Silk-Blend-Woven-Design-Banarasi-Saree/11137110/buy,False,,False,11137110,Mitera Navy Blue & Gold-Toned Silk Blend Woven Design Banarasi Saree,Mitera Navy Blue & Gold-Toned Silk Blend Woven Design Banarasi Saree,3.4161491,322,True,0,,2920,Mitera,http://assets.myntassets.com/assets/images/productimage/2019/12/7/ac7066b7-686a-4a32-87bf-bfa5ca34c7611575674588023-1.jpg,0,0,38448240,2542,0,,[],"[{'skuId': 38448240, 'label': 'Onesize', 'inventory': 11612, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/12/7/ac7066b7-686a-4a32-87bf-bfa5ca34c7611575674588023-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/12/7/ac7066b7-686a-4a32-87bf-bfa5ca34c7611575674588023-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/12/7/37ff88d7-782a-4582-b4ea-ed60f75b17961575674588239-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/12/7/4e8c4f05-2f7c-4bc1-aa80-1233182b0e4b1575674588145-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/12/7/b357faa0-e02e-4047-8e72-d2d34d6850ab1575674588088-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/12/7/9b269e4a-b0c4-4035-acc2-12f523d23c8c1575674588193-4.jpg'}]",Women,Navy Blue,Flat_Search_Percent,(73% OFF),Woven Design Banarasi Saree,Sarees,3999,1079,,False,,0,1,,1575504000000,Winter,2019,False,,,0,,"[{'attribute': 'SA_XT_Best_Price', 'value': 'Price may go up'}]",www.myntra.com/Sarees/Mitera/Mitera-Navy-Blue--Gold-Toned-Silk-Blend-Woven-Design-Banarasi-Saree/11137110/buy
3,Sarees/Mitera/Mitera-Navy-Blue--Gold-Coloured-Silk-Blend-Woven-Design-Kanjeevaram-Saree/11076740/buy,False,,False,11076740,Mitera Navy Blue & Gold-Coloured Silk Blend Woven Design Kanjeevaram Saree,Mitera Navy Blue & Gold-Coloured Silk Blend Woven Design Kanjeevaram Saree,3.4588234,170,True,0,,4080,Mitera,http://assets.myntassets.com/assets/images/productimage/2019/11/28/cd191469-0b3b-470c-8365-20cc4c37556d1574893593957-1.jpg,0,0,38213046,8232,0,,[],"[{'skuId': 38213046, 'label': 'Onesize', 'inventory': 458, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/11/28/cd191469-0b3b-470c-8365-20cc4c37556d1574893593957-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/11/28/cd191469-0b3b-470c-8365-20cc4c37556d1574893593957-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/11/28/6570deb9-6ced-4ca0-a788-f2b288c778d41574893594141-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/11/28/82eaf56d-fcc9-4d3b-b0b6-0542d3ad6af51574893594050-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/11/28/54bc693d-b8e9-4bd1-bcee-f29918cbbe651574893594096-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/11/28/f88f1573-08f6-46b1-9336-bc52bebda69f1574893594006-2.jpg'}]",Women,Navy Blue,Flat_Search_Percent,(68% OFF),Woven Design Kanjeevaram Saree,Sarees,5999,1919,,False,,0,1,,1574899200000,Summer,2019,False,,,0,,[],www.myntra.com/Sarees/Mitera/Mitera-Navy-Blue--Gold-Coloured-Silk-Blend-Woven-Design-Kanjeevaram-Saree/11076740/buy
4,Sarees/Saree-mall/Saree-mall-Sea-Green--Pink-Linen-Blend-Printed-Saree/10258133/buy,False,,False,10258133,Saree mall Sea Green & Pink Linen Blend Printed Saree,Saree mall Sea Green & Pink Linen Blend Printed Saree,4.059829,468,True,0,,1300,Saree mall,http://assets.myntassets.com/assets/images/10258133/2019/7/19/e8a827ca-9e03-40c3-9662-6bbeb7c7558e1563521133380-Saree-mall-Sea-Green-Linen-Blend--Casual-Floral-Printed-Sare-1.jpg,0,0,35060137,2542,0,,[],"[{'skuId': 35060137, 'label': 'Onesize', 'inventory': 27585, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/10258133/2019/7/19/e8a827ca-9e03-40c3-9662-6bbeb7c7558e1563521133380-Saree-mall-Sea-Green-Linen-Blend--Casual-Floral-Printed-Sare-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/10258133/2019/7/19/e8a827ca-9e03-40c3-9662-6bbeb7c7558e1563521133380-Saree-mall-Sea-Green-Linen-Blend--Casual-Floral-Printed-Sare-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/10258133/2019/7/19/6b79f0d6-76fb-4239-a270-528d6d44a4491563526332974-Saree-mall-Sea-Green-Linen-Blend--Casual-Floral-Printed-Sare-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/10258133/2019/7/19/8b67dad4-6053-40ac-996e-8a137cd341d91563521133265-Saree-mall-Sea-Green-Linen-Blend--Casual-Floral-Printed-Sare-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/10258133/2019/7/19/48b42756-8685-4e68-8b00-f92ce863e6c41563521133323-Saree-mall-Sea-Green-Linen-Blend--Casual-Floral-Printed-Sare-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/10258133/2019/7/19/1b76da5e-9173-49ca-9c90-a54374b3c3191563526332993-Saree-mall-Sea-Green-Linen-Blend--Casual-Floral-Printed-Sare-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/10258133/2019/7/19/1b424034-a8a1-4fe6-8c2b-5ae5151e4eb51563521133295-Saree-mall-Sea-Green-Linen-Blend--Casual-Floral-Printed-Sare-4.jpg'}]",Women,Sea Green,Flat_Search_Percent,(65% OFF),Printed Saree,Sarees,1999,699,,False,,0,1,,1563408000000,Winter,2019,False,,,0,,[],www.myntra.com/Sarees/Saree-mall/Saree-mall-Sea-Green--Pink-Linen-Blend-Printed-Saree/10258133/buy
5,Sarees/Mitera/Mitera-Green--Blue-Silk-Blend-Woven-Design-Banarasi-Saree/11414886/buy,False,,False,11414886,Mitera Green & Blue Silk Blend Woven Design Banarasi Saree,Mitera Green & Blue Silk Blend Woven Design Banarasi Saree,3.9849625,133,True,0,,1456,Mitera,http://assets.myntassets.com/assets/images/productimage/2020/1/28/bc785c5f-fb67-4257-abe8-9eb3e8e1b8911580170093461-1.jpg,0,0,39621254,2542,0,,[],"[{'skuId': 39621254, 'label': 'Onesize', 'inventory': 50123, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/1/28/bc785c5f-fb67-4257-abe8-9eb3e8e1b8911580170093461-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/1/28/bc785c5f-fb67-4257-abe8-9eb3e8e1b8911580170093461-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/1/28/76aff256-03b8-49d3-9b03-afc2aaa657641580170093740-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/1/28/5a0daced-0733-4d62-85df-cb678033dc261580170093598-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/1/28/06a9665e-3a07-4f9a-991a-270ddee688b01580170093671-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/1/28/ebb5445a-dbea-47f2-b29d-188f4d878dd21580170093522-2.jpg'}]",Women,Green,Flat_Search_Percent,(56% OFF),Woven Design Banarasi Saree,Sarees,2599,1143,,False,,0,1,,1579737600000,Summer,2020,False,,,0,,[],www.myntra.com/Sarees/Mitera/Mitera-Green--Blue-Silk-Blend-Woven-Design-Banarasi-Saree/11414886/buy
6,Sarees/Mitera/Mitera-Mustard-Silk-Blend-Woven-Design-Banarasi-Saree/10700512/buy,False,,False,10700512,Mitera Mustard Silk Blend Woven Design Banarasi Saree,Mitera Mustard Silk Blend Woven Design Banarasi Saree,3.729885,348,True,0,,2170,Mitera,http://assets.myntassets.com/assets/images/productimage/2019/9/21/b7a40051-2ea0-44d0-805b-10761f4844dd1569013480119-1.jpg,0,0,36713422,2542,0,,[],"[{'skuId': 36713422, 'label': 'Onesize', 'inventory': 31518, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/9/21/b7a40051-2ea0-44d0-805b-10761f4844dd1569013480119-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/9/21/b7a40051-2ea0-44d0-805b-10761f4844dd1569013480119-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/9/21/4d2fb7ec-53f2-4ef4-8102-87d19dbcdfc91569013480247-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/9/21/e1b02c02-4003-45e0-8e7a-1b3c263f662a1569013480184-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/9/21/183664d1-6075-4279-a416-b299514bbcee1569013480215-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/9/21/f303288f-15d7-447b-89a6-2515c1de68161569013480151-2.jpg'}]",Women,Mustard,Flat_Search_Percent,(70% OFF),Woven Design Banarasi Saree,Sarees,3099,929,,False,,0,1,,1568851200000,Winter,2019,False,,,0,,"[{'attribute': 'SA_XT_Best_Price', 'value': 'Price may go up'}]",www.myntra.com/Sarees/Mitera/Mitera-Mustard-Silk-Blend-Woven-Design-Banarasi-Saree/10700512/buy
7,Sarees/Shaily/Shaily-Maroon--Golden-Coloured-Woven-Design-Banarasi-Saree/7486225/buy,False,,False,7486225,Shaily Maroon & Golden-Coloured Woven Design Banarasi Saree,Shaily Maroon & Golden-Coloured Woven Design Banarasi Saree,3.75,172,True,0,,6150,Shaily,http://assets.myntassets.com/assets/images/7486225/2018/9/26/104aa520-5a96-42ed-9486-e4c4f78383d91537947355620-Shaily-Maroon-Banarasi-Silk-Embellished-Saree-9111537947355442-1.jpg,0,0,31847138,3766,0,,[],"[{'skuId': 31847138, 'label': 'Onesize', 'inventory': 94, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/7486225/2018/9/26/104aa520-5a96-42ed-9486-e4c4f78383d91537947355620-Shaily-Maroon-Banarasi-Silk-Embellished-Saree-9111537947355442-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/7486225/2018/9/26/104aa520-5a96-42ed-9486-e4c4f78383d91537947355620-Shaily-Maroon-Banarasi-Silk-Embellished-Saree-9111537947355442-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/7486225/2018/9/26/f1af804c-a7b1-48d0-90da-fbc936d59b0c1537947355542-Shaily-Maroon-Banarasi-Silk-Embellished-Saree-9111537947355442-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/7486225/2018/9/26/cdb27ad9-996c-4eb6-a2f1-7ae1aec5c72d1537947355579-Shaily-Maroon-Banarasi-Silk-Embellished-Saree-9111537947355442-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/7486225/2018/9/26/e645f954-a401-49c5-8ae4-7f3a26d227681537947355564-Shaily-Maroon-Banarasi-Silk-Embellished-Saree-9111537947355442-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/7486225/2018/9/26/fce6bb07-9c9b-4984-80ff-ea7848a0827b1537947355598-Shaily-Maroon-Banarasi-Silk-Embellished-Saree-9111537947355442-2.jpg'}]",Women,Maroon,Flat_Search_Percent,(75% OFF),Woven Design Banarasi Saree,Sarees,8199,2049,,False,,0,1,,1537401600000,Fall,2018,False,,,0,,[],www.myntra.com/Sarees/Shaily/Shaily-Maroon--Golden-Coloured-Woven-Design-Banarasi-Saree/7486225/buy
8,Sarees/Mitera/Mitera-Pink--Gold-Coloured-Silk-Blend-Woven-Design-Banarasi-Saree/10968842/buy,False,,False,10968842,Mitera Pink & Gold-Coloured Silk Blend Woven Design Banarasi Saree,Mitera Pink & Gold-Coloured Silk Blend Woven Design Banarasi Saree,3.482353,170,True,0,,2030,Mitera,http://assets.myntassets.com/assets/images/productimage/2019/11/12/8437c24f-5805-4648-b463-da97fe13aee71573536418046-1.jpg,0,0,37804228,2542,0,,[],"[{'skuId': 37804228, 'label': 'Onesize', 'inventory': 10286, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/11/12/8437c24f-5805-4648-b463-da97fe13aee71573536418046-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/11/12/8437c24f-5805-4648-b463-da97fe13aee71573536418046-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/11/12/d51fc101-89fa-4c01-9e1d-2bbff19b90011573536418214-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/11/12/f63b1efc-b1d0-40fa-854e-1345597c42721573536418122-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/11/12/7c92c9e3-e34a-43ef-b223-f6867c58fb891573536418084-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/11/12/fbba4d93-9e69-4cdf-9d88-de77e04f1fdc1573536418165-4.jpg'}]",Women,Pink,Flat_Search_Percent,(70% OFF),Woven Design Banarasi Saree,Sarees,2899,869,,False,,0,1,,1573084800000,Winter,2019,False,,,0,,[],www.myntra.com/Sarees/Mitera/Mitera-Pink--Gold-Coloured-Silk-Blend-Woven-Design-Banarasi-Saree/10968842/buy
9,Sarees/Mitera/Mitera-Pink-Silk-Blend-Solid-Banarasi-Saree/10632932/buy,False,,False,10632932,Mitera Pink Silk Blend Solid Banarasi Saree,Mitera Pink Silk Blend Solid Banarasi Saree,3.9317586,381,True,0,,1140,Mitera,http://assets.myntassets.com/assets/images/productimage/2019/9/13/7296cd47-2eb1-4a61-8eb6-9c72b1a590931568315327260-1.jpg,0,0,36460118,2542,0,,[],"[{'skuId': 36460118, 'label': 'Onesize', 'inventory': 25102, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/9/13/7296cd47-2eb1-4a61-8eb6-9c72b1a590931568315327260-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/9/13/7296cd47-2eb1-4a61-8eb6-9c72b1a590931568315327260-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/9/13/5911430c-349f-4d2a-82a0-74ce4e2a6bfe1568315327380-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/9/13/6702558d-b864-4a73-ab94-95518689e5eb1568315327319-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/9/13/20f0b54c-469d-4c38-a731-ad572db113cf1568315327288-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/9/13/32c838f4-fb89-4105-b31c-79653633f2761568315327349-4.jpg'}]",Women,Pink,Flat_Search_Percent,(60% OFF),Solid Banarasi Saree,Sarees,1899,759,,False,,0,1,,1568246400000,Winter,2019,False,,,0,,[],www.myntra.com/Sarees/Mitera/Mitera-Pink-Silk-Blend-Solid-Banarasi-Saree/10632932/buy
