,code,couponStatus,fnlColorVariantData,images,fnlProductData,discountPercent,price,wasPriceData,name,volumePricesFlag,url,productSizeData,PAGE_URL_COMPLETE
0,441025080008,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hb6/h17/15063928930334/-286Wx359H-441025080-teal-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441025080_teal', 'sizeFlag': False}","[{'altText': 'DNMX Teal Blue Flat front Flat-Front Joggers with Insert Pockets', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h37/h11/15063929323550/dnmx_teal_blue_flat_front_flat-front_joggers_with_insert_pockets.jpg'}, {'altText': 'DNMX Teal Blue Flat front Flat-Front Joggers with Insert Pockets', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h70/h4a/15063934042142/dnmx_teal_blue_flat_front_flat-front_joggers_with_insert_pockets.jpg'}, {'altText': 'DNMX Teal Blue Flat front Flat-Front Joggers with Insert Pockets', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hb6/h17/15063928930334/dnmx_teal_blue_flat_front_flat-front_joggers_with_insert_pockets.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",40% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 599.00', 'displayformattedValue': 'Rs. 599', 'value': 599}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 999.00', 'displayformattedValue': 'Rs. 999', 'value': 999}",Flat-Front Joggers with Insert Pockets,False,/dnmx-flat-front-joggers-with-insert-pockets/p/441025080_teal,{'sizeVariants': ['30']},trends.ajio.com/dnmx-flat-front-joggers-with-insert-pockets/p/441025080_teal
1,441025077005,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ha9/hc4/15138390573086/-286Wx359H-441025077-olive-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441025077_olive', 'sizeFlag': False}","[{'altText': 'DNMX Olive Green Flat front Ankle-Length Joggers with Insert Pockets', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h64/h12/15138391228446/dnmx_olive_green_flat_front_ankle-length_joggers_with_insert_pockets.jpg'}, {'altText': 'DNMX Olive Green Flat front Ankle-Length Joggers with Insert Pockets', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/he4/hf5/15138399223838/dnmx_olive_green_flat_front_ankle-length_joggers_with_insert_pockets.jpg'}, {'altText': 'DNMX Olive Green Flat front Ankle-Length Joggers with Insert Pockets', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ha9/hc4/15138390573086/dnmx_olive_green_flat_front_ankle-length_joggers_with_insert_pockets.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",30% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 699.00', 'displayformattedValue': 'Rs. 699', 'value': 699}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 999.00', 'displayformattedValue': 'Rs. 999', 'value': 999}",Ankle-Length Joggers with Insert Pockets,False,/dnmx-ankle-length-joggers-with-insert-pockets/p/441025077_olive,"{'sizeVariants': ['30', '36']}",trends.ajio.com/dnmx-ankle-length-joggers-with-insert-pockets/p/441025077_olive
2,441012233001,Coupon Applicable,"{'brandName': 'NETWORK', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h04/he3/14612870692894/-286Wx359H-441012233-black-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441012233_black', 'sizeFlag': False}","[{'altText': 'NETWORK Black Flat front Checked Slim Fit Flat-Front Trousers', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h4d/h2c/14612871315486/network_black_flat_front_checked_slim_fit_flat-front_trousers.jpg'}, {'altText': 'NETWORK Black Flat front Checked Slim Fit Flat-Front Trousers', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h3a/h15/14612878098462/network_black_flat_front_checked_slim_fit_flat-front_trousers.jpg'}, {'altText': 'NETWORK Black Flat front Checked Slim Fit Flat-Front Trousers', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h04/he3/14612870692894/network_black_flat_front_checked_slim_fit_flat-front_trousers.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",50% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 500.00', 'displayformattedValue': 'Rs. 500', 'value': 500}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 999.00', 'displayformattedValue': 'Rs. 999', 'value': 999}",Checked Slim Fit Flat-Front Trousers,False,/network-checked-slim-fit-flat-front-trousers/p/441012233_black,"{'sizeVariants': ['30', '32', '34', '36', '38']}",trends.ajio.com/network-checked-slim-fit-flat-front-trousers/p/441012233_black
3,441010710007,Coupon Applicable,"{'brandName': 'NETPLAY', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ha3/h6d/14839843553310/-286Wx359H-441010710-khaki-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441010710_khaki', 'sizeFlag': False}","[{'altText': 'NETPLAY Khaki Chinos Tapered Fit Flat-Front Chinos', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hcc/h6a/14839843749918/netplay_khaki_chinos_tapered_fit_flat-front_chinos.jpg'}, {'altText': 'NETPLAY Khaki Chinos Tapered Fit Flat-Front Chinos', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hab/h17/14839847485470/netplay_khaki_chinos_tapered_fit_flat-front_chinos.jpg'}, {'altText': 'NETPLAY Khaki Chinos Tapered Fit Flat-Front Chinos', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ha3/h6d/14839843553310/netplay_khaki_chinos_tapered_fit_flat-front_chinos.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",50% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 650.00', 'displayformattedValue': 'Rs. 650', 'value': 650}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,299.00', 'displayformattedValue': 'Rs. 1,299', 'value': 1299}",Tapered Fit Flat-Front Chinos,False,/netplay-tapered-fit-flat-front-chinos/p/441010710_khaki,"{'sizeVariants': ['30', '32', '34', '38']}",trends.ajio.com/netplay-tapered-fit-flat-front-chinos/p/441010710_khaki
4,441025080005,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/he3/hee/15071444074526/-286Wx359H-441025080-burgandy-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441025080_burgandy', 'sizeFlag': False}","[{'altText': 'DNMX Beige Flat front Flat-Front Joggers with Insert Pockets', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h40/h24/15071444533278/dnmx_beige_flat_front_flat-front_joggers_with_insert_pockets.jpg'}, {'altText': 'DNMX Beige Flat front Flat-Front Joggers with Insert Pockets', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h48/hd1/15071449972766/dnmx_beige_flat_front_flat-front_joggers_with_insert_pockets.jpg'}, {'altText': 'DNMX Beige Flat front Flat-Front Joggers with Insert Pockets', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/he3/hee/15071444074526/dnmx_beige_flat_front_flat-front_joggers_with_insert_pockets.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",40% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 599.00', 'displayformattedValue': 'Rs. 599', 'value': 599}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 999.00', 'displayformattedValue': 'Rs. 999', 'value': 999}",Flat-Front Joggers with Insert Pockets,False,/dnmx-flat-front-joggers-with-insert-pockets/p/441025080_burgandy,{'sizeVariants': ['36']},trends.ajio.com/dnmx-flat-front-joggers-with-insert-pockets/p/441025080_burgandy
5,441025086007,Coupon Applicable,"{'brandName': 'NETPLAY', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h46/h94/14710745071646/-286Wx359H-441025086-green-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441025086_green', 'sizeFlag': False}","[{'altText': 'NETPLAY Light Green Flat front Mid-Rise Flat-Front Trousers', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hc5/h62/14710745858078/netplay_light_green_flat_front_mid-rise_flat-front_trousers.jpg'}, {'altText': 'NETPLAY Light Green Flat front Mid-Rise Flat-Front Trousers', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h9a/hf3/14710753198110/netplay_light_green_flat_front_mid-rise_flat-front_trousers.jpg'}, {'altText': 'NETPLAY Light Green Flat front Mid-Rise Flat-Front Trousers', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h46/h94/14710745071646/netplay_light_green_flat_front_mid-rise_flat-front_trousers.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",40% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 899.00', 'displayformattedValue': 'Rs. 899', 'value': 899}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,499.00', 'displayformattedValue': 'Rs. 1,499', 'value': 1499}",Mid-Rise Flat-Front Trousers,False,/netplay-mid-rise-flat-front-trousers/p/441025086_green,"{'sizeVariants': ['30', '32', '34']}",trends.ajio.com/netplay-mid-rise-flat-front-trousers/p/441025086_green
6,440869378017,Coupon Applicable,"{'brandName': 'JOHN PLAYERS', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h0f/h7a/13243079852062/-286Wx359H-440869378-black-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440869378_black', 'sizeFlag': False}","[{'altText': 'JOHN PLAYERS Black Chinos Cotton Trousers with Insert Pockets', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hd1/h14/13243079917598/john_players_black_chinos_cotton_trousers_with_insert_pockets.jpg'}, {'altText': 'JOHN PLAYERS Black Chinos Cotton Trousers with Insert Pockets', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hd2/h0c/13243080704030/john_players_black_chinos_cotton_trousers_with_insert_pockets.jpg'}, {'altText': 'JOHN PLAYERS Black Chinos Cotton Trousers with Insert Pockets', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h0f/h7a/13243079852062/john_players_black_chinos_cotton_trousers_with_insert_pockets.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",60% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 520.00', 'displayformattedValue': 'Rs. 520', 'value': 520}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,299.00', 'displayformattedValue': 'Rs. 1,299', 'value': 1299}",Cotton Trousers with Insert Pockets,False,/john-players-cotton-trousers-with-insert-pockets/p/440869378_black,,trends.ajio.com/john-players-cotton-trousers-with-insert-pockets/p/440869378_black
7,441009747007,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h6e/h5b/14729747496990/-286Wx359H-441009747-khaki-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441009747_khaki', 'sizeFlag': False}","[{'altText': 'DNMX Beige Trousers Tropical Print Joggers with Drawstring Fastening', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h18/hd9/14729747955742/dnmx_beige_trousers_tropical_print_joggers_with_drawstring_fastening.jpg'}, {'altText': 'DNMX Beige Trousers Tropical Print Joggers with Drawstring Fastening', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h30/ha8/14729752739870/dnmx_beige_trousers_tropical_print_joggers_with_drawstring_fastening.jpg'}, {'altText': 'DNMX Beige Trousers Tropical Print Joggers with Drawstring Fastening', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h6e/h5b/14729747496990/dnmx_beige_trousers_tropical_print_joggers_with_drawstring_fastening.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",40% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 599.00', 'displayformattedValue': 'Rs. 599', 'value': 599}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 999.00', 'displayformattedValue': 'Rs. 999', 'value': 999}",Tropical Print Joggers with Drawstring Fastening,False,/dnmx-tropical-print-joggers-with-drawstring-fastening/p/441009747_khaki,"{'sizeVariants': ['28', '30', '32', '34', '36', '38']}",trends.ajio.com/dnmx-tropical-print-joggers-with-drawstring-fastening/p/441009747_khaki
8,441012252010,Coupon Applicable,"{'brandName': 'NETWORK', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h88/hd7/14491938127902/-286Wx359H-441012252-ltgrey-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441012252_ltgrey', 'sizeFlag': False}","[{'altText': 'NETWORK Grey Flat front Mid-Rise Slim Fit Flat-Front Trousers', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h1b/h56/14491938717726/network_grey_flat_front_mid-rise_slim_fit_flat-front_trousers.jpg'}, {'altText': 'NETWORK Grey Flat front Mid-Rise Slim Fit Flat-Front Trousers', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h71/h11/14491943960606/network_grey_flat_front_mid-rise_slim_fit_flat-front_trousers.jpg'}, {'altText': 'NETWORK Grey Flat front Mid-Rise Slim Fit Flat-Front Trousers', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h88/hd7/14491938127902/network_grey_flat_front_mid-rise_slim_fit_flat-front_trousers.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",50% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 450.00', 'displayformattedValue': 'Rs. 450', 'value': 450}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 899.00', 'displayformattedValue': 'Rs. 899', 'value': 899}",Mid-Rise Slim Fit Flat-Front Trousers,False,/network-mid-rise-slim-fit-flat-front-trousers/p/441012252_ltgrey,"{'sizeVariants': ['32', '34', '36', '38']}",trends.ajio.com/network-mid-rise-slim-fit-flat-front-trousers/p/441012252_ltgrey
9,441010710021,Coupon Applicable,"{'brandName': 'NETPLAY', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h49/h4e/15082114056222/-286Wx359H-441010710-stone-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441010710_stone', 'sizeFlag': False}","[{'altText': 'NETPLAY Beige Chinos Tapered Fit Flat-Front Chinos', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hb5/hcf/15082114646046/netplay_beige_chinos_tapered_fit_flat-front_chinos.jpg'}, {'altText': 'NETPLAY Beige Chinos Tapered Fit Flat-Front Chinos', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h75/h0e/15082119954462/netplay_beige_chinos_tapered_fit_flat-front_chinos.jpg'}, {'altText': 'NETPLAY Beige Chinos Tapered Fit Flat-Front Chinos', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h49/h4e/15082114056222/netplay_beige_chinos_tapered_fit_flat-front_chinos.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",50% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 650.00', 'displayformattedValue': 'Rs. 650', 'value': 650}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,299.00', 'displayformattedValue': 'Rs. 1,299', 'value': 1299}",Tapered Fit Flat-Front Chinos,False,/netplay-tapered-fit-flat-front-chinos/p/441010710_stone,"{'sizeVariants': ['30', '32', '34']}",trends.ajio.com/netplay-tapered-fit-flat-front-chinos/p/441010710_stone
