,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Tshirts/HM/HM-Women-Pink-Solid-Jersey-T-shirt/11468726/buy,False,,False,11468726,H&M Women Pink Solid Jersey T-shirt,H&M Women Pink Solid Jersey T-shirt,4.427975,479,True,0,,0,H&M,http://assets.myntassets.com/assets/images/productimage/2020/2/6/5f146a39-fe96-4927-8f2b-7ad487d56fd31580946539826-1.jpg,0,0,39851070,6771,0,,[],"[{'skuId': 39851066, 'label': 'XS', 'inventory': 576, 'available': True}, {'skuId': 39851068, 'label': 'S', 'inventory': 506, 'available': True}, {'skuId': 39851070, 'label': 'M', 'inventory': 468, 'available': True}, {'skuId': 39851072, 'label': 'L', 'inventory': 516, 'available': True}, {'skuId': 39851074, 'label': 'XL', 'inventory': 66, 'available': True}]","XS,S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/2/6/5f146a39-fe96-4927-8f2b-7ad487d56fd31580946539826-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/2/6/5f146a39-fe96-4927-8f2b-7ad487d56fd31580946539826-1.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/2/6/f653b9aa-e712-4f8d-9dd2-6dae1f9b79191580946539892-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/2/6/338fb483-cd6f-4ea5-ab99-854e5cd7fb421580946539860-2.jpg'}]",Women,Pink,,,Jersey T-shirt,Tshirts,399,399,,False,,0,,,1580947200000,Summer,2020,False,,,0,,[],www.myntra.com/Tshirts/HM/HM-Women-Pink-Solid-Jersey-T-shirt/11468726/buy
1,Tops/Ives/Ives-Women-Olive-Green-Solid-Shirt-Style-Top/8375271/buy,False,,False,8375271,Ives Women Olive Green Solid Shirt Style Top,Ives Women Olive Green Solid Shirt Style Top,3.99022,1636,True,0,,0,Ives,http://assets.myntassets.com/assets/images/8375271/2019/1/7/582995a9-d9c8-4129-8538-bf6492edc0191546853353174-Ives-Women-Olive-Green-Solid-Shirt-Style-Top-342154685335233-1.jpg,0,0,32904933,2182,0,,[],"[{'skuId': 32904931, 'label': 'S', 'inventory': 21, 'available': True}, {'skuId': 32904932, 'label': 'M', 'inventory': 22, 'available': True}, {'skuId': 32904933, 'label': 'L', 'inventory': 66, 'available': True}, {'skuId': 32904934, 'label': 'XL', 'inventory': 115, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/8375271/2019/1/7/582995a9-d9c8-4129-8538-bf6492edc0191546853353174-Ives-Women-Olive-Green-Solid-Shirt-Style-Top-342154685335233-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/8375271/2019/1/7/582995a9-d9c8-4129-8538-bf6492edc0191546853353174-Ives-Women-Olive-Green-Solid-Shirt-Style-Top-342154685335233-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/8375271/2019/1/7/1f464d2a-9c64-43a6-a877-aeac3a317ef31546853353117-Ives-Women-Olive-Green-Solid-Shirt-Style-Top-342154685335233-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/8375271/2019/1/7/861a97a2-b569-482b-b8e4-41f0f7d562b41546853353140-Ives-Women-Olive-Green-Solid-Shirt-Style-Top-342154685335233-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/8375271/2019/1/7/51d8b738-7205-4fcc-8472-f653aa21fb561546853353127-Ives-Women-Olive-Green-Solid-Shirt-Style-Top-342154685335233-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/8375271/2019/1/7/5e0cdb25-c0de-45f7-bd69-dbfd9293d8b81546853353155-Ives-Women-Olive-Green-Solid-Shirt-Style-Top-342154685335233-2.jpg'}]",Women,Olive,,,Solid Shirt Style Top,Tops,1099,1099,,False,,0,,,1546473600000,Summer,2018,False,,,0,,[],www.myntra.com/Tops/Ives/Ives-Women-Olive-Green-Solid-Shirt-Style-Top/8375271/buy
2,Tshirts/HRX-by-Hrithik-Roshan/HRX-by-Hrithik-Roshan-Women-Black-Solid-Rapid-Dry-Running-Tshirt/10565642/buy,False,,False,10565642,HRX by Hrithik Roshan Women Black Solid Rapid Dry Running Tshirt,HRX by Hrithik Roshan Women Black Solid Rapid Dry Running Tshirt,4.424821,419,True,0,,0,HRX by Hrithik Roshan,http://assets.myntassets.com/assets/images/10565642/2020/2/4/e8586abb-30d3-4d8d-a493-24cfe3d63f611580805631072-HRX-by-Hrithik-Roshan-Women-Black-Printed-Back-Running-Tshir-1.jpg,0,0,36207732,4027,0,,[],"[{'skuId': 36207732, 'label': 'XS', 'inventory': 80, 'available': True}, {'skuId': 36207734, 'label': 'S', 'inventory': 122, 'available': True}, {'skuId': 36207736, 'label': 'M', 'inventory': 265, 'available': True}, {'skuId': 36207738, 'label': 'L', 'inventory': 261, 'available': True}, {'skuId': 36207740, 'label': 'XL', 'inventory': 251, 'available': True}]","XS,S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/10565642/2020/2/4/e8586abb-30d3-4d8d-a493-24cfe3d63f611580805631072-HRX-by-Hrithik-Roshan-Women-Black-Printed-Back-Running-Tshir-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/10565642/2020/2/4/e8586abb-30d3-4d8d-a493-24cfe3d63f611580805631072-HRX-by-Hrithik-Roshan-Women-Black-Printed-Back-Running-Tshir-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/10565642/2020/2/4/01cfb344-9f40-412c-844d-00be2e41bc311580805630886-HRX-by-Hrithik-Roshan-Women-Black-Printed-Back-Running-Tshir-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/10565642/2020/2/4/c7c67cee-b63a-4a80-891a-3a3c33d97b171580805630972-HRX-by-Hrithik-Roshan-Women-Black-Printed-Back-Running-Tshir-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/10565642/2020/2/4/344ce9f9-d0f7-422d-bfa2-9dabbeb719831580805630926-HRX-by-Hrithik-Roshan-Women-Black-Printed-Back-Running-Tshir-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/10565642/2020/2/4/6145c456-e275-48df-8de9-14b7b174f61b1580805631026-HRX-by-Hrithik-Roshan-Women-Black-Printed-Back-Running-Tshir-2.jpg'}]",Women,Black,,,Running Rapid Dry Tshirt,Tshirts,699,699,,False,,0,,,1578528000000,Summer,2020,False,,,0,,[],www.myntra.com/Tshirts/HRX-by-Hrithik-Roshan/HRX-by-Hrithik-Roshan-Women-Black-Solid-Rapid-Dry-Running-Tshirt/10565642/buy
3,Tops/SASSAFRAS/SASSAFRAS-Women-Black-Solid-Semi-Sheer-Longline-A-Line-Top/9070277/buy,False,,False,9070277,SASSAFRAS Women Black Solid Semi-Sheer Longline A-Line Top,SASSAFRAS Women Black Solid Semi-Sheer Longline A-Line Top,4.3901515,1584,True,0,,0,SASSAFRAS,http://assets.myntassets.com/assets/images/9070277/2019/4/1/778bd489-d0e5-46ab-be0e-e03af9b794e11554109637847-SASSAFRAS-Women-Tops-3961554109636914-1.jpg,0,0,33754919,4028,0,,[],"[{'skuId': 33754916, 'label': 'XS', 'inventory': 482, 'available': True}, {'skuId': 33754919, 'label': 'S', 'inventory': 521, 'available': True}, {'skuId': 33754920, 'label': 'M', 'inventory': 630, 'available': True}, {'skuId': 33754923, 'label': 'L', 'inventory': 75, 'available': True}, {'skuId': 33754924, 'label': 'XL', 'inventory': 248, 'available': True}]","XS,S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/9070277/2019/4/1/778bd489-d0e5-46ab-be0e-e03af9b794e11554109637847-SASSAFRAS-Women-Tops-3961554109636914-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/9070277/2019/4/1/778bd489-d0e5-46ab-be0e-e03af9b794e11554109637847-SASSAFRAS-Women-Tops-3961554109636914-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/9070277/2019/4/1/715bdaee-51b9-496f-8acf-9182ef9e572f1554109637773-SASSAFRAS-Women-Tops-3961554109636914-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/9070277/2019/4/1/4b654b3b-5202-4301-9dcd-2dd914a444f91554109637805-SASSAFRAS-Women-Tops-3961554109636914-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/9070277/2019/4/1/bf7f21ac-94b1-47c9-8825-aace628cfc811554109637827-SASSAFRAS-Women-Tops-3961554109636914-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/9070277/2019/4/1/38a6eeb3-475e-47f3-9f5d-f6b5f654b9441554109637786-SASSAFRAS-Women-Tops-3961554109636914-4.jpg'}]",Women,Black,,,Solid A-Line Top,Tops,1299,1299,,False,,0,,,1553731200000,Spring,2019,False,,,0,,[],www.myntra.com/Tops/SASSAFRAS/SASSAFRAS-Women-Black-Solid-Semi-Sheer-Longline-A-Line-Top/9070277/buy
4,Tops/Pannkh/Pannkh-Women-Navy-Blue-Printed-Top/2506738/buy,False,,False,2506738,Pannkh Women Navy Blue Printed Top,Pannkh Women Navy Blue Printed Top,3.971396,874,True,0,,0,Pannkh,http://assets.myntassets.com/assets/images/2506738/2018/7/18/df0c1d8c-528d-4afd-9714-a40c19b105ec1531903512284-Pannkh-Women-Navy-Blue-Printed-Top-6761531903512079-1.jpg,0,0,15755240,2031,0,,[],"[{'skuId': 15755236, 'label': 'XS', 'inventory': 101, 'available': True}, {'skuId': 15755240, 'label': 'S', 'inventory': 48, 'available': True}, {'skuId': 15755238, 'label': 'M', 'inventory': 104, 'available': True}, {'skuId': 15755234, 'label': 'L', 'inventory': 77, 'available': True}, {'skuId': 15755230, 'label': 'XL', 'inventory': 58, 'available': True}]","XS,S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/2506738/2018/7/18/df0c1d8c-528d-4afd-9714-a40c19b105ec1531903512284-Pannkh-Women-Navy-Blue-Printed-Top-6761531903512079-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/2506738/2018/7/18/df0c1d8c-528d-4afd-9714-a40c19b105ec1531903512284-Pannkh-Women-Navy-Blue-Printed-Top-6761531903512079-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/2506738/2018/7/18/49e1417a-8696-471a-b1e3-0ccbb47b917a1531903512159-Pannkh-Women-Navy-Blue-Printed-Top-6761531903512079-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/2506738/2018/7/18/c0e43db5-8df9-492d-85dd-9775adcb9ac81531903512216-Pannkh-Women-Navy-Blue-Printed-Top-6761531903512079-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/2506738/2018/7/18/bd70e27a-21e3-4abc-bda7-f780296e493e1531903512255-Pannkh-Women-Navy-Blue-Printed-Top-6761531903512079-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/2506738/2018/7/18/9643a585-6d2c-4379-88d8-57777e0cf0321531903512192-Pannkh-Women-Navy-Blue-Printed-Top-6761531903512079-4.jpg'}]",Women,Navy Blue,,,Printed Top,Tops,999,999,,False,,0,,,1518652800000,Summer,2018,False,,,0,,[],www.myntra.com/Tops/Pannkh/Pannkh-Women-Navy-Blue-Printed-Top/2506738/buy
5,Tops/Style-Quotient/Style-Quotient-Women-Maroon-Lace-Top-with-Bell-Sleeves/6543994/buy,False,,False,6543994,Style Quotient Women Maroon Lace Top with Bell Sleeves,Style Quotient Women Maroon Lace Top with Bell Sleeves,4.1654844,846,True,0,,0,Style Quotient,http://assets.myntassets.com/assets/images/6543994/2018/6/14/88f12dec-cb1c-4728-9da2-cba4ac0fd4091528970770917-Style-Quotient-Women-Maroon-Solid-Top-4121528970770715-1.jpg,0,0,30011932,336,0,,[],"[{'skuId': 30011932, 'label': 'S', 'inventory': 2116, 'available': True}, {'skuId': 30011931, 'label': 'M', 'inventory': 1431, 'available': True}, {'skuId': 30011930, 'label': 'L', 'inventory': 3882, 'available': True}, {'skuId': 30011933, 'label': 'XL', 'inventory': 2382, 'available': True}, {'skuId': 33288142, 'label': 'XXL', 'inventory': 806, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/6543994/2018/6/14/88f12dec-cb1c-4728-9da2-cba4ac0fd4091528970770917-Style-Quotient-Women-Maroon-Solid-Top-4121528970770715-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/6543994/2018/6/14/88f12dec-cb1c-4728-9da2-cba4ac0fd4091528970770917-Style-Quotient-Women-Maroon-Solid-Top-4121528970770715-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/6543994/2018/6/14/b8a26895-a024-4577-932d-120b2689ad3c1528970770807-Style-Quotient-Women-Maroon-Solid-Top-4121528970770715-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/6543994/2018/6/14/7e534a1e-466a-4451-a31e-00a4029ae6901528970770863-Style-Quotient-Women-Maroon-Solid-Top-4121528970770715-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/6543994/2018/6/14/13df2d55-8d21-408f-bf1e-32e06545643f1528970770834-Style-Quotient-Women-Maroon-Solid-Top-4121528970770715-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/6543994/2018/6/14/be7f940a-fbc5-41ff-844f-5f7100fa784a1528970770891-Style-Quotient-Women-Maroon-Solid-Top-4121528970770715-2.jpg'}]",Women,Maroon,,,Lace Top with Bell Sleeves,Tops,1499,1499,,True,,0,,,1528934400000,Summer,2018,False,,,0,,[],www.myntra.com/Tops/Style-Quotient/Style-Quotient-Women-Maroon-Lace-Top-with-Bell-Sleeves/6543994/buy
6,Tops/Harpa/Harpa-Women-Mustard-Yellow-Polka-Dot-Print-Wrap-Top/8986017/buy,False,,False,8986017,Harpa Women Mustard Yellow Polka Dot Print Wrap Top,Harpa Women Mustard Yellow Polka Dot Print Wrap Top,3.863118,1578,True,0,,0,Harpa,http://assets.myntassets.com/assets/images/8986017/2019/3/14/09e033fa-9925-4f5f-b5aa-6aac32307fed1552553406848-Harpa-Women-Tops-4791552553405672-1.jpg,0,0,33654133,609,0,,[],"[{'skuId': 33654132, 'label': 'S', 'inventory': 273, 'available': True}, {'skuId': 33654133, 'label': 'M', 'inventory': 335, 'available': True}, {'skuId': 33654134, 'label': 'L', 'inventory': 311, 'available': True}, {'skuId': 33654136, 'label': 'XL', 'inventory': 319, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/8986017/2019/3/14/09e033fa-9925-4f5f-b5aa-6aac32307fed1552553406848-Harpa-Women-Tops-4791552553405672-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/8986017/2019/3/14/09e033fa-9925-4f5f-b5aa-6aac32307fed1552553406848-Harpa-Women-Tops-4791552553405672-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/8986017/2019/3/14/71e158b0-fdbb-49fc-ad5a-48c71e05e28e1552553406735-Harpa-Women-Tops-4791552553405672-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/8986017/2019/3/14/b9944ff3-1e72-4a3e-a710-3fb716642a861552553406784-Harpa-Women-Tops-4791552553405672-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/8986017/2019/3/14/bb019a96-e817-4f8c-b6f8-3c852811d1861552553406810-Harpa-Women-Tops-4791552553405672-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/8986017/2019/3/14/5b05a91d-49b2-4558-8b24-128253b5a9e41552553406760-Harpa-Women-Tops-4791552553405672-4.jpg'}]",Women,Mustard,,,Polka Dot Print Wrap Top,Tops,1199,1199,,False,,0,,,1552521600000,Summer,2019,False,,,0,,[],www.myntra.com/Tops/Harpa/Harpa-Women-Mustard-Yellow-Polka-Dot-Print-Wrap-Top/8986017/buy
7,Tshirts/HM/HM-Women-Blue--White-Striped-Tie-Hem-T-shirt/11718874/buy,False,,False,11718874,H&M Women Blue & White Striped Tie-Hem T-shirt,H&M Women Blue & White Striped Tie-Hem T-shirt,4.4827585,87,True,0,,0,H&M,http://assets.myntassets.com/assets/images/productimage/2020/3/18/9cffcd42-843c-42d8-9f1e-75c4139f47191584481952900-1.jpg,0,0,40757576,6771,0,,[],"[{'skuId': 40757572, 'label': 'XXS', 'inventory': 0, 'available': False}, {'skuId': 40757574, 'label': 'XS', 'inventory': 365, 'available': True}, {'skuId': 40757576, 'label': 'S', 'inventory': 967, 'available': True}, {'skuId': 40757578, 'label': 'M', 'inventory': 400, 'available': True}, {'skuId': 40757580, 'label': 'L', 'inventory': 318, 'available': True}]","XS,S,M,L","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/3/18/9cffcd42-843c-42d8-9f1e-75c4139f47191584481952900-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/3/18/9cffcd42-843c-42d8-9f1e-75c4139f47191584481952900-1.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/3/18/69c6d17c-4ad5-4aec-9ecc-00c5913d0b031584481952984-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/3/18/752ad474-31a1-449a-8efe-7e926bca963f1584481953028-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/3/18/323c98b1-6722-4888-a2dd-d61f0b1b2c061584481952944-2.jpg'}]",Women,Blue,,,Tie-Hem T-shirt,Tshirts,799,799,,False,,0,,,1583971200000,Summer,2020,False,,,0,,[],www.myntra.com/Tshirts/HM/HM-Women-Blue--White-Striped-Tie-Hem-T-shirt/11718874/buy
8,Tshirts/HRX-by-Hrithik-Roshan/HRX-by-Hrithik-Roshan-Women-Peach-Coloured-Solid-Rapid-Dry-Running-Tshirt/10565598/buy,False,,False,10565598,HRX by Hrithik Roshan Women Peach-Coloured Solid Rapid Dry Running Tshirt,HRX by Hrithik Roshan Women Peach-Coloured Solid Rapid Dry Running Tshirt,4.3656387,227,True,0,,0,HRX by Hrithik Roshan,http://assets.myntassets.com/assets/images/10565598/2020/2/4/e940549c-a665-4878-ab8e-382e47e184af1580805598154-HRX-by-Hrithik-Roshan-Women-Peach-Coloured-Printed-Back-Runn-1.jpg,0,0,36207522,4027,0,,[],"[{'skuId': 36207520, 'label': 'XS', 'inventory': 233, 'available': True}, {'skuId': 36207522, 'label': 'S', 'inventory': 276, 'available': True}, {'skuId': 36207524, 'label': 'M', 'inventory': 653, 'available': True}, {'skuId': 36207526, 'label': 'L', 'inventory': 494, 'available': True}, {'skuId': 36207528, 'label': 'XL', 'inventory': 487, 'available': True}]","XS,S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/10565598/2020/2/4/e940549c-a665-4878-ab8e-382e47e184af1580805598154-HRX-by-Hrithik-Roshan-Women-Peach-Coloured-Printed-Back-Runn-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/10565598/2020/2/4/e940549c-a665-4878-ab8e-382e47e184af1580805598154-HRX-by-Hrithik-Roshan-Women-Peach-Coloured-Printed-Back-Runn-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/10565598/2020/2/4/4de595f5-e1b2-48bd-a03e-04d8d244d7501580805597937-HRX-by-Hrithik-Roshan-Women-Peach-Coloured-Printed-Back-Runn-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/10565598/2020/2/4/4a1097af-19c7-481e-87db-f7cdc75ec9991580805598052-HRX-by-Hrithik-Roshan-Women-Peach-Coloured-Printed-Back-Runn-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/10565598/2020/2/4/9e2c8026-b826-4900-b784-5446da9ffdbe1580805597994-HRX-by-Hrithik-Roshan-Women-Peach-Coloured-Printed-Back-Runn-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/10565598/2020/2/4/4ba27d93-ec8b-46db-b372-b2f5e7b3768e1580805598110-HRX-by-Hrithik-Roshan-Women-Peach-Coloured-Printed-Back-Runn-2.jpg'}]",Women,Peach,,,Running Rapid Dry Tshirt,Tshirts,699,699,,False,,0,,,1578528000000,Summer,2020,False,,,0,,[],www.myntra.com/Tshirts/HRX-by-Hrithik-Roshan/HRX-by-Hrithik-Roshan-Women-Peach-Coloured-Solid-Rapid-Dry-Running-Tshirt/10565598/buy
9,Tops/Harpa/Harpa-Women-Black-Solid-Top-with-Floral-Embroidery/7578956/buy,False,,False,7578956,Harpa Women Black Solid Top with Floral Embroidery,Harpa Women Black Solid Top with Floral Embroidery,4.0982246,845,True,0,,0,Harpa,http://assets.myntassets.com/assets/images/7578956/2018/10/24/629593a1-1d44-4539-9342-c46f82bbe20d1540383624409-Harpa-Women-Tops-3891540383624283-1.jpg,0,0,32005571,609,0,,[],"[{'skuId': 32005570, 'label': 'S', 'inventory': 441, 'available': True}, {'skuId': 32005571, 'label': 'M', 'inventory': 360, 'available': True}, {'skuId': 32005572, 'label': 'L', 'inventory': 420, 'available': True}, {'skuId': 32005573, 'label': 'XL', 'inventory': 268, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/7578956/2018/10/24/629593a1-1d44-4539-9342-c46f82bbe20d1540383624409-Harpa-Women-Tops-3891540383624283-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/7578956/2018/10/24/629593a1-1d44-4539-9342-c46f82bbe20d1540383624409-Harpa-Women-Tops-3891540383624283-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/7578956/2018/10/24/bd9b0714-f94d-4a36-83c3-1de59c4c88d21540383624430-Harpa-Women-Tops-3891540383624283-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/7578956/2018/10/24/03af2c93-7f0b-4146-9aac-71e75ba2af931540383624370-Harpa-Women-Tops-3891540383624283-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/7578956/2018/10/24/66e787f5-cb82-4402-95f8-a08a7b98cd231540383624357-Harpa-Women-Tops-3891540383624283-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/7578956/2018/10/24/01853611-5268-431e-8273-6bae0a1a68dd1540383624391-Harpa-Women-Tops-3891540383624283-2.jpg'}]",Women,Black,,,Top with Floral Embroidery,Tops,1699,1699,,False,,0,,,1540425600000,Summer,2019,False,,,0,,[],www.myntra.com/Tops/Harpa/Harpa-Women-Black-Solid-Top-with-Floral-Embroidery/7578956/buy
