,sku,id,lineId,imageSmallUrl,originalImage,productName,brandName,price,discountPrice,discountPercent,links,mainColor,masterCategoryName,subCategoryName,exclusiveToKoovs,isSkuOutOfStock,isProductOutOfStock,hasLooksAvailable,isTrending,merchantDetails,url_given,PAGE_URL_COMPLETE
0,1914335,132710,148893,https://product.koovs.com/148893_fa212b7f0ea349dd8e84c9391978176d_image1_super_zoom.jpg,https://product.koovs.com/width/height/148893_fa212b7f0ea349dd8e84c9391978176d_image1_super_zoom.jpg,KOOVS Slogan Badge Applique Denim Dress,K Denim,1699,339,80,"[{'href': '/k-denim-skater-denim-dress-with-badges-132710-148893.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Dresses'],['Denim Dresses'],False,False,False,False,False,,/k-denim-skater-denim-dress-with-badges-132710-148893.html,www.koovs.com/k-denim-skater-denim-dress-with-badges-132710-148893.html
1,148223,42729,45534,https://product.koovs.com/45534_0dd973a8a804468185c5e560f2a0b21c_image1_super_zoom.jpg,https://product.koovs.com/width/height/45534_0dd973a8a804468185c5e560f2a0b21c_image1_super_zoom.jpg,Ruffled Sleeve Skater Dress,Guava,599,299,50,"[{'href': '/guava-smocked-dress-with-neck-ruffles-black-42729-45534.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Dresses'],['Skater Dresses'],False,False,False,False,False,,/guava-smocked-dress-with-neck-ruffles-black-42729-45534.html,www.koovs.com/guava-smocked-dress-with-neck-ruffles-black-42729-45534.html
2,1920018,133925,150316,https://product.koovs.com/150316_ffe1f350f2a94477b6ec05804e91724f_image1_super_zoom.jpg,https://product.koovs.com/width/height/150316_ffe1f350f2a94477b6ec05804e91724f_image1_super_zoom.jpg,Bustier Scuba Bodycon Dress,KOOVS,1499,1499,0,"[{'href': '/koovs-bustier-scuba-dress-133925-150316.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Dresses'],['Body Con Dresses'],False,False,False,False,False,,/koovs-bustier-scuba-dress-133925-150316.html,www.koovs.com/koovs-bustier-scuba-dress-133925-150316.html
3,1907720,131424,147354,https://product.koovs.com/147354_e0a95568af1e4ffea1e19c3b9c7d960c_image1_super_zoom.jpg,https://product.koovs.com/width/height/147354_e0a95568af1e4ffea1e19c3b9c7d960c_image1_super_zoom.jpg,Trefoil Logo Mini T-Shirt Dress,Adidas,3999,3999,0,"[{'href': '/dress---------------black-131424-147354.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Dresses'],['Shift Dresses'],False,False,False,False,False,,/dress---------------black-131424-147354.html,www.koovs.com/dress---------------black-131424-147354.html
4,1914567,132745,148940,https://product.koovs.com/148940_0326e5174f2b49efa3bfe91d3dd0f863_image1_super_zoom.jpg,https://product.koovs.com/width/height/148940_0326e5174f2b49efa3bfe91d3dd0f863_image1_super_zoom.jpg,Twin Pocket Mini Shift Dress,Trendyol,1999,1000,50,"[{'href': '/shift-dress-with-pockets-132745-148940.html', 'rel': 'self', 'method': 'GET'}]",['Green'],['Dresses'],['Shift Dresses'],False,False,False,False,False,,/shift-dress-with-pockets-132745-148940.html,www.koovs.com/shift-dress-with-pockets-132745-148940.html
5,1914244,132696,148874,https://product.koovs.com/148874_7be558e2c8fb47f991e6a95d7119117e_image1_super_zoom.jpg,https://product.koovs.com/width/height/148874_7be558e2c8fb47f991e6a95d7119117e_image1_super_zoom.jpg,Strappy Midi Dress,Trendyol,1999,1999,0,"[{'href': '/solid-midi-dress-with-neck-detail-132696-148874.html', 'rel': 'self', 'method': 'GET'}]",['Purple'],['Dresses'],['Midi Dresses'],False,False,False,False,False,,/solid-midi-dress-with-neck-detail-132696-148874.html,www.koovs.com/solid-midi-dress-with-neck-detail-132696-148874.html
6,1914233,132695,148872,https://product.koovs.com/148872_005e74205fb94240921c5b61ed952c84_image1_super_zoom.jpg,https://product.koovs.com/width/height/148872_005e74205fb94240921c5b61ed952c84_image1_super_zoom.jpg,Asymmetric Neck Mini Skater Dress,Trendyol,1999,1999,0,"[{'href': '/skater-dress-with-cut-out-neck-detail-132695-148872.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Dresses'],['Skater Dresses'],False,False,False,False,False,,/skater-dress-with-cut-out-neck-detail-132695-148872.html,www.koovs.com/skater-dress-with-cut-out-neck-detail-132695-148872.html
7,1914220,132691,148868,https://product.koovs.com/148868_82edec280a9e4a8a91f536a3bc35ed55_image1_super_zoom.jpg,https://product.koovs.com/width/height/148868_82edec280a9e4a8a91f536a3bc35ed55_image1_super_zoom.jpg,Tropical Print Mini Off-Shoulder Dress,Trendyol,1999,1999,0,"[{'href': '/tropical-print-off-shoulder-dress-132691-148868.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Dresses'],['Off-shoulder & Bandeau Dresses'],False,False,False,False,False,,/tropical-print-off-shoulder-dress-132691-148868.html,www.koovs.com/tropical-print-off-shoulder-dress-132691-148868.html
8,1914209,132688,148865,https://product.koovs.com/148865_3897de51f52f477089d0af0210ca9e9c_image1_super_zoom.jpg,https://product.koovs.com/width/height/148865_3897de51f52f477089d0af0210ca9e9c_image1_super_zoom.jpg,Check Print High-Low Hem Shift Dress,Trendyol,1999,1999,0,"[{'href': '/shift-dress-with-checks-132688-148865.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Dresses'],['Shift Dresses'],False,False,False,False,False,,/shift-dress-with-checks-132688-148865.html,www.koovs.com/shift-dress-with-checks-132688-148865.html
9,1914206,132687,148864,https://product.koovs.com/148864_b6c483f24a4b48b9bc2525cf5dd26863_image1_super_zoom.jpg,https://product.koovs.com/width/height/148864_b6c483f24a4b48b9bc2525cf5dd26863_image1_super_zoom.jpg,Printed Strappy Shift Dress,Trendyol,1999,1999,0,"[{'href': '/animal-print-midi-dress-132687-148864.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Dresses'],['Shift Dresses'],False,False,False,False,False,,/animal-print-midi-dress-132687-148864.html,www.koovs.com/animal-print-midi-dress-132687-148864.html
